store_name,LINK_ID,lat_x,lot_x,유동인구_평균,lat_y,lot_y,일자,링크아이디,거리,차선수,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
KG타워,1010009000.0,37.563528,126.969144,24141.0,37.563528,126.969144,20210717.0,1010009000.0,501.0,4.0,29.86,27.572499999999998,28.619999999999997,27.41,28.1475,27.165,28.457500000000003,29.356,34.431999999999995,30.982,29.27,28.377999999999997,25.003999999999998,20.945999999999998,19.236,17.716,17.002000000000002,17.964000000000002,20.086000000000002,23.83,26.762,29.136000000000003,27.214,31.303999999999995
SSG마켓도곡R,1220014250.0,37.490298,127.05489500000002,30953.0,37.490298,127.05489500000002,20210717.0,1220014250.0,564.0,4.0,35.1875,38.89625,38.57249999999999,39.795,38.2975,38.597500000000004,36.39875000000001,33.665000000000006,29.571999999999996,25.447000000000003,21.347,19.505000000000003,17.423,15.779000000000002,16.574,19.061,19.697000000000003,19.541999999999998,22.409,25.391000000000002,27.326,27.875,26.413,28.841
가락시장역,1230009933.3333333,37.494299,127.12135399999994,37909.0,37.494299,127.12135399999994,20210717.0,1230009933.3333333,483.0,2.6666666666666665,24.054166666666664,26.2325,26.150833333333335,26.896666666666672,26.98,27.426666666666666,27.313333333333333,24.349333333333334,20.913333333333334,18.836,17.405333333333335,15.916666666666666,16.215333333333334,16.555333333333333,16.667999999999996,16.46,17.070666666666664,17.932666666666666,19.267333333333333,20.413333333333334,21.32933333333333,21.892666666666663,23.654666666666667,24.866
가재울뉴타운,1120008100.0,37.5749841,126.9164441,20391.0,37.5749841,126.9164441,20210717.0,1120008100.0,833.0,2.0,20.775,23.409999999999997,26.864999999999995,28.1475,22.592499999999994,20.0625,20.425,19.13,18.254,16.912,14.170000000000002,15.268,14.943999999999999,15.532,15.036000000000001,15.901999999999997,15.7,15.126,15.691999999999998,15.434000000000003,16.110000000000003,15.163999999999996,17.802,19.497999999999998
강남R,1220023400.0,37.497711,127.028439,97922.0,37.497711,127.028439,20210717.0,1220023400.0,323.0,4.0,25.572499999999998,26.1175,28.232499999999998,30.9925,30.5,32.235,29.025,26.742,28.768,27.544,27.014,25.216,24.362000000000002,23.618000000000002,23.887999999999998,25.118000000000002,26.058000000000003,27.32,28.394,30.218,26.24,22.044000000000004,20.366,21.404
강남구청역,1220031000.0,37.5165849,127.04124329999999,41704.0,37.5165849,127.04124329999999,20210717.0,1220031000.0,803.0,2.0,26.2025,26.802500000000002,28.2225,30.895,30.707500000000003,31.760000000000005,27.78,26.852000000000004,25.154000000000003,22.478,20.756,20.298000000000002,20.782000000000004,20.46,19.418,18.735999999999997,18.75,16.6,17.735999999999997,19.276,21.804,23.026000000000003,24.376,28.874000000000002
강남구청정문,1220032833.3333333,37.51818100000001,127.04599499999996,43176.0,37.51818100000001,127.04599499999996,20210717.0,1220032833.3333333,812.0,3.0,27.965833333333332,27.496666666666666,27.096666666666664,29.365,27.83833333333334,27.94083333333333,27.833333333333332,25.58333333333333,26.299333333333333,24.65666666666667,21.881333333333327,21.206,21.589333333333332,20.558666666666664,20.535333333333334,21.57266666666667,23.199333333333332,23.894000000000002,24.896,27.452666666666666,26.397333333333336,26.026666666666667,25.522,26.240666666666666
강남대로,1220025066.6666667,37.503140000000016,127.02554600000003,97922.0,37.503140000000016,127.02554600000003,20210717.0,1220025066.6666667,776.0,4.0,23.550833333333333,24.8225,25.785,26.16416666666667,26.735,26.790000000000003,26.065,24.7,25.021333333333335,22.774,18.469333333333335,15.681333333333331,13.086666666666666,12.534666666666665,12.653999999999998,12.448666666666664,13.664666666666667,14.814,17.82333333333333,21.730000000000004,21.106666666666666,19.935999999999996,18.904,20.979333333333333
강남대로논현R,1220027800.0,37.507413,127.022568,33095.0,37.507413,127.022568,20210717.0,1220027800.0,785.0,4.0,25.662499999999998,27.727500000000003,28.3475,28.53,27.732499999999998,29.424999999999997,29.91,28.410000000000004,26.418,21.832,19.974,18.610000000000003,18.274,17.312,16.848000000000003,16.826,17.734,18.735999999999997,20.534,22.890000000000004,23.774,25.55,25.714000000000006,27.058000000000003
강남대로신사,1220030650.0,37.514889999999994,127.019469,34063.0,37.514889999999994,127.019469,20210717.0,1220030650.0,580.0,4.0,23.13625,24.0825,25.067499999999995,26.426250000000003,26.880000000000003,26.061249999999998,27.14,27.195999999999998,24.912999999999997,19.308,15.177000000000001,12.453999999999997,11.687999999999999,10.048,9.797999999999998,9.119,9.65,11.754000000000001,14.679000000000002,20.011000000000003,23.448,24.287999999999997,23.986,23.561
강남우성,1220016300.0,37.492396,127.03090999999999,97922.0,37.492396,127.03090999999999,20210717.0,1220016300.0,414.0,4.0,22.672500000000003,25.9475,26.625,26.3675,26.525,26.950000000000003,25.770000000000003,26.529999999999994,26.118000000000002,18.552,14.246,13.097999999999999,12.03,11.612,12.222000000000001,13.892000000000001,14.626,14.128,15.588,17.436,17.589999999999996,16.914,17.985999999999997,17.602
강동구청DT,1240006700.0,37.52943700000001,127.12383500000001,24938.0,37.52943700000001,127.12383500000001,20210717.0,1240006700.0,698.0,2.0,28.700000000000003,34.415000000000006,33.18,36.0025,33.9425,29.199999999999996,25.735,24.93,22.815999999999995,20.881999999999998,18.606,18.276000000000003,18.438,19.363999999999997,19.362000000000002,19.554000000000002,19.726000000000006,20.046,20.696,20.748,21.772,21.902,23.131999999999998,24.904000000000003
강동역,1240000550.0,37.536047,127.13308600000002,30164.0,37.536047,127.13308600000002,20210717.0,1240000550.0,742.0,5.0,31.489999999999995,31.57,31.05125,31.86625,32.6275,29.95,28.58375,29.494,31.27,28.196999999999996,26.302000000000003,24.178,23.34,21.422,22.366,22.437,22.505000000000003,23.172000000000004,25.411,27.494,28.070999999999998,28.201999999999998,28.72,30.051
강북구청사거리,1080010975.0,37.640035399999995,127.0273766,27859.0,37.640035399999995,127.0273766,20210717.0,1080010975.0,443.25,2.0,25.816875000000003,27.785625,29.174999999999997,29.921249999999993,29.438125,28.228125000000002,26.143750000000004,28.072999999999997,26.382500000000004,22.7845,19.800500000000003,18.395999999999997,17.2195,16.491,15.719,16.2815,15.441000000000003,14.673500000000004,14.407,17.0955,19.735000000000003,19.755500000000005,20.118000000000002,22.719500000000004
강서구청사거리,1150012300.0,37.5549266,126.85231330000002,20504.0,37.5549266,126.85231330000002,20210717.0,1150012300.0,340.0,3.0,26.6725,27.185,25.9325,27.270000000000003,27.8425,22.65,21.45,22.096,18.360000000000003,13.858,11.51,11.233999999999998,11.393999999999998,11.892,13.472,14.294,14.966000000000003,14.978,16.598000000000003,19.496,21.248,20.796,19.968,23.753999999999998
건국대,1040012000.0,37.5415592,127.0711244,33461.0,37.5415592,127.0711244,20210717.0,1040012000.0,877.0,3.0,25.785,25.7625,24.455,27.105,25.215,23.497500000000002,24.5275,23.81,24.407999999999998,20.756,17.462,15.112,15.735999999999999,15.008,16.41,16.23,16.514,18.212,19.09,19.895999999999997,20.812,21.041999999999998,20.85,22.872000000000003
건대입구,1040012000.0,37.54066039999999,127.07072250000002,33461.0,37.54066039999999,127.07072250000002,20210717.0,1040012000.0,877.0,3.0,25.785,25.7625,24.455,27.105,25.215,23.497500000000002,24.5275,23.81,24.407999999999998,20.756,17.462,15.112,15.735999999999999,15.008,16.41,16.23,16.514,18.212,19.09,19.895999999999997,20.812,21.041999999999998,20.85,22.872000000000003
경희궁로,1000026700.0,37.57175900000001,126.97234299999995,22874.0,37.57175900000001,126.97234299999995,20210717.0,1000026700.0,163.0,0.0,20.515,19.9,18.00875,23.654999999999998,19.115000000000006,18.98,20.345,19.009999999999998,20.092,20.77,20.147000000000002,19.428000000000004,19.282999999999998,19.103,19.058999999999997,18.745999999999995,18.764000000000003,18.881,18.455,19.261,19.127,20.181,20.845,22.147000000000002
경희대삼거리,1050018700.0,37.59153100000001,127.052017,18320.0,37.59153100000001,127.052017,20210717.0,1050018700.0,880.0,2.0,26.095,27.3775,26.6325,25.91,29.265,27.314999999999998,25.705,25.21,25.038,24.506000000000004,24.394,23.054000000000002,23.625999999999998,23.384,23.715999999999998,23.504000000000005,23.456000000000003,23.42,23.074,23.302,22.802,22.717999999999996,23.473999999999997,24.898
공덕,1130001800.0,37.545913,126.952956,37752.0,37.545913,126.952956,20210717.0,1130001800.0,1309.0,4.0,30.042499999999997,29.9,29.662499999999998,31.017500000000002,30.740000000000002,28.909999999999997,29.892500000000002,28.654000000000003,27.624000000000002,26.206,25.156,25.369999999999997,24.834000000000003,25.34,25.5,25.334,25.916000000000004,25.554,26.332,27.148000000000003,26.462,26.915999999999997,26.924,28.933999999999997
공덕오거리,1056677866.6666666,37.5424641,126.95057730000003,20724.0,37.5424641,126.95057730000003,20210717.0,1056677866.6666666,488.6666666666667,2.3333333333333335,19.43666666666667,22.589166666666667,25.454166666666666,26.49,26.595833333333335,24.054166666666664,22.472499999999997,23.44333333333333,20.570666666666668,18.098666666666666,15.978666666666665,15.104666666666667,15.341333333333333,14.050000000000002,16.733333333333334,16.164,15.8,16.486666666666668,17.068,17.124000000000002,17.243333333333332,16.84133333333333,19.52333333333333,19.958000000000006
공릉DT,1100000300.0,37.6206884,127.07431160000002,42818.0,37.6206884,127.07431160000002,20210717.0,1100000300.0,912.0,2.0,26.307499999999997,27.2175,28.412499999999998,31.0925,27.4125,28.910000000000004,27.735,26.596000000000004,26.43,24.052000000000003,20.546,18.997999999999998,19.465999999999998,19.866000000000003,19.421999999999997,19.578,18.848,18.786,20.676000000000002,21.878,23.195999999999998,24.305999999999997,24.907999999999998,26.978
