store_name,유동인구_평균,거리,차선수
올림픽대교북단,31265,174,2.2
올림픽훼미리,40430,893,3
왕십리역,30053,582,2
외대,21953,437,1
용산리첸시아,21156,569,2
우장산역,35165,770,3
은평구청입구,27437,594,0
은행사거리,26338,375,2
을지로2가,28483,241,3.4
을지로4가역,16491,487,3
을지로내외빌딩R,28483,429,3
을지로한국빌딩,28483,429,3
을지병원사거리,41704,676,3
이마빌딩,53772,253,2
이수역사거리,25146,674,4
이수자이,25409,1319,2
이촌,27412,835,2
이태원역,11051,448,2
자양,23924,545,2
자양사거리,23924,590,3
잠실새내역,34861,641,3
잠실시그마타워,37001,630,4
장위뉴타운,7700,364.3333333,0
정부서울청사R,22874,274.5,1.5
종각,53772,415,4
종로3가,53772,393,4
종암,39291,1205,4
종암DT,39291,203,4
중계역,48537,413,2
중곡,16084,531,3.5
중구저동,28483,261,1
중앙대,30536,303,0
중화역,26002,153,2
차병원사거리,41704,436,3
천호대로길동,51131,407,5
천호로데오,30164,742,5
천호사거리,45413,300,3
천호역,25857,288,5
청담공원,35255,619,3
충무로역,10438,482,3
충정타워,36689,571,3
코엑스몰,35255,625,3
큰길타워,97922,555,4
포스코사거리,35255,622,4
포이,15244,629,3
포포인츠명동,28483,154,1
학동역,41704,676,3
한강진역R,30289,853,2
한남동R,30289,1092,2
한양대,18069,590,3
한티역,28358,764,4
합정,21235,578,3
홍대공항철도역,62256,593.5,3
홍대삼거리,25350,329,1
홍대역,62256,594.6666667,3
홍대역8번출구,62256,592.3333333,3
홍대입구역사거리R,62256,405,3
홍제역,15845,758,3
화곡DT,17986,2155,2
화곡동,47359,1315,3
환구단,24141,137,3
황학사거리,30053,444.2,1.6
황학캐슬,12939,429,2
효창공원앞역,10216,462,3
