,store_name,유동인구_평균_x,차선수_x,cluster,LINK_ID,lat_x,lot_x,유동인구_평균_y,lat_y,lot_y,일자,링크아이디,거리,차선수_y,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
35,구파발역,63305.0,1.0,3,1110015300.0,37.63446,126.91888100000003,63305.0,37.63446,126.91888100000003,20210715.5,1110015300.0,1329.0,1.0,13.4675,22.92,22.365000000000002,18.87,18.19,15.590000000000003,17.3925,18.17,16.0025,15.030000000000001,14.375,15.3425,15.0375,14.0975,15.080000000000002,14.915,13.055,13.475000000000001,15.472500000000002,16.94,16.302500000000002,14.825,15.907499999999999,17.3475
42,길동역,51131.0,3.0,3,1240010100.0,37.5387433,127.13998790000002,51131.0,37.5387433,127.13998790000002,20210715.5,1240010100.0,811.0,3.0,25.809999999999995,25.884999999999998,27.057499999999994,27.714999999999996,27.9075,26.195,22.157500000000002,18.4925,12.9025,14.29,15.3525,15.6525,17.2225,16.77,16.4775,16.18,15.827499999999999,16.4775,16.7125,17.802500000000002,19.3175,19.625,20.465,22.757499999999997
43,까치산역,47359.0,3.0,3,1150008000.0,37.532303000000006,126.84607700000001,47359.0,37.532303000000006,126.84607700000001,20210715.5,1150008000.0,355.0,3.0,23.6475,23.415,25.162499999999994,25.8675,24.727500000000003,21.0975,21.9375,14.274999999999999,10.8025,14.4125,12.264999999999999,11.1775,10.515,9.7225,9.5275,8.1025,7.3100000000000005,9.085,9.719999999999999,11.067500000000003,18.105,23.407499999999995,20.345,20.817500000000003
48,남부터미널2,64170.0,2.0,3,1210015900.0,37.48436736,127.01421919999999,64170.0,37.48436736,127.01421919999999,20210715.5,1210015900.0,441.0,2.0,24.6575,26.1775,26.369999999999997,32.582499999999996,27.549999999999997,32.8575,30.9925,23.167499999999997,16.53,14.675,14.625,15.1725,19.2125,20.25,17.65,16.945,17.439999999999998,17.244999999999997,20.34,22.317499999999995,25.630000000000003,26.425000000000004,27.7175,30.3525
54,노원역,48537.0,2.0,3,1100003900.0,37.654751,127.060034,48537.0,37.654751,127.060034,20210715.5,1100003900.0,148.0,2.0,30.302500000000002,33.5175,25.0575,28.947499999999998,24.68,30.15,26.240000000000002,22.427500000000002,21.857499999999998,20.335,18.9875,21.39,21.56,20.862499999999997,19.990000000000002,18.805,17.575,16.88,18.07,20.3325,22.1875,22.7725,22.795,27.42
62,대치,49688.0,3.333333333333333,3,1220024233.3333333,37.499661749999994,127.0622171,49688.0,37.499661749999994,127.0622171,20210715.5,1220024233.3333333,624.6666666666666,3.3333333333333335,27.736666666666665,30.960000000000004,33.49166666666667,34.20166666666667,34.762499999999996,29.611666666666668,27.219166666666666,23.57166666666667,19.55,17.87833333333333,19.035,20.111666666666665,20.64666666666667,18.970000000000002,18.434166666666666,18.26,17.9025,13.314166666666667,12.475833333333332,15.626666666666665,19.99916666666667,18.639166666666668,16.081666666666667,24.286666666666665
63,대치사거리,49688.0,2.6,3,1220026200.0,37.503331,127.05881700000005,49688.0,37.503331,127.05881700000005,20210715.5,1220026200.0,531.0,2.6,27.612000000000005,31.688,29.657000000000004,29.5305,32.53099999999999,32.03249999999999,29.607499999999998,25.7635,21.019,17.824500000000004,17.714000000000002,17.479999999999997,19.721,19.283,18.0545,17.422000000000004,16.929499999999997,13.777000000000001,14.437000000000001,16.741999999999997,22.5655,22.378000000000004,18.4685,25.2425
68,도곡공원,52263.0,3.0,3,1220019300.0,37.49280499999999,127.04130899999997,52263.0,37.49280499999999,127.04130899999997,20210715.5,1220019300.0,505.6666666666667,3.0,28.607499999999998,29.58083333333333,32.13916666666666,31.979166666666668,31.871666666666666,29.53333333333333,26.72083333333333,22.564999999999998,15.764166666666668,12.645000000000001,12.5925,15.664166666666665,19.733333333333334,20.516666666666666,18.650833333333335,17.175833333333333,16.65,16.413333333333334,17.349999999999998,21.249166666666664,24.749166666666667,27.689999999999994,26.245833333333334,25.9375
72,동교,62256.0,3.0,3,1130018600.0,37.556928,126.91981899999999,62256.0,37.556928,126.91981899999999,20210715.5,1130018600.0,607.0,3.0,22.845,24.965,25.5075,26.064999999999998,23.722499999999997,25.35,25.474999999999998,20.970000000000002,24.47,23.229999999999997,21.915,21.3125,23.384999999999998,22.327499999999997,19.990000000000002,18.045,17.9375,16.637500000000003,14.985,14.815000000000001,14.912500000000001,18.337500000000002,20.6475,21.3425
90,망원역,62256.0,3.0,3,1130017600.0,37.55582900000001,126.91063699999998,62256.0,37.55582900000001,126.91063699999998,20210715.5,1130017600.0,520.0,3.0,21.8725,23.102500000000003,26.072499999999998,25.3375,22.942500000000003,23.757499999999997,22.53,22.872500000000002,20.535000000000004,19.859999999999996,20.885,20.480000000000004,19.665,18.845,19.872500000000002,18.8425,18.7775,17.715,19.397500000000004,20.020000000000003,20.8925,21.369999999999997,22.0775,22.49
128,상계초교사거리,48537.0,3.0,3,1100030300.0,37.656776,127.06644200000002,48537.0,37.656776,127.06644200000002,20210715.5,1100030300.0,153.0,3.0,29.045,34.475,33.3075,36.4375,39.86,37.709999999999994,34.144999999999996,32.225,30.09,26.6625,26.415,26.537499999999998,27.947499999999998,27.145,26.5975,28.157500000000002,28.347500000000004,27.1225,25.73,27.074999999999996,27.654999999999998,26.585,27.6175,31.332500000000003
135,서교,62256.0,3.0,3,1130002200.0,37.551385,126.91692079999999,62256.0,37.551385,126.91692079999999,20210715.5,1130002200.0,572.0,3.0,27.265,28.705000000000005,30.160000000000004,29.677499999999995,29.3275,26.864999999999995,23.475,22.11,22.45,19.372500000000002,17.915,20.384999999999998,22.464999999999996,22.439999999999998,21.0325,22.385000000000005,23.7975,23.2725,22.292499999999997,22.5,26.285,24.942500000000003,24.75,25.455
136,서교동사거리,62256.0,3.0,3,1130002500.0,37.55337600000001,126.91856400000003,62256.0,37.55337600000001,126.91856400000003,20210715.5,1130002500.0,405.0,3.0,24.790000000000003,28.1875,29.042499999999997,32.26,31.995,23.977500000000003,25.942500000000003,23.2625,22.7875,21.607499999999998,18.3425,16.5225,14.07,13.407499999999999,13.1725,12.6525,12.247499999999999,13.16,11.63,14.642500000000002,16.810000000000002,17.769999999999996,16.515,18.3525
