,store_name,유동인구_평균_x,차선수_x,cluster,LINK_ID,lat_x,lot_x,유동인구_평균_y,lat_y,lot_y,일자,링크아이디,거리,차선수_y,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
148,서초구청,41879,4.25,0,1210015400,37.484206,127.030103,41879,37.484206,127.030103,20210715.5,1210015400,310.75,4.25,35.343125,36.291875,38.3275,37.871875,38.64125,38.63625,35.535,28.6,25.029375,23.654375,22.80125,22.63375,25.47375,25.885,23.198125,20.789375,19.836875,19.576875,18.6925,21.80375,26.53625,28.4475,31.52375,33.77
151,서초우성사거리,41879,4,0,1220021000,37.493545,127.02943,41879,37.493545,127.02943,20210715.5,1220021000,586,4,22.1725,26.185,22.68,24.245,21.555,29.1575,27.9925,20.405,16.1975,15.6025,16.56,17.4025,13.7575,13.3975,13.47,12.0775,11.645,10.3325,9.1275,9.19,14.6625,18.725,18.66,18.7175
155,선릉동신빌딩R,38899,4,0,1220026800,37.505321,127.050409,38899,37.505321,127.050409,20210715.5,1220026800,721,4,29.8275,30.5125,33.2,33.4575,33.03,34.8175,33.2225,30.9675,26.5,24.9525,22.3825,19.8425,20.9075,20.5075,19.275,19.3625,20.24,19.5,20.1,23.0925,23.4025,21.67,17.8725,21.0575
186,신사역성일빌딩,41326,4,0,1220030667,37.514132,127.020563,41326,37.514132,127.020563,20210715.5,1220030667,579.6666667,4,24.33,25.10666667,26.09,26.43166667,26.805,30.01,29.45,24.06166667,19.90833333,14.70666667,11.43,9.015,10.40083333,9.719166667,10.86416667,12.07,10.665,13.55,14.0175,15.98416667,21.9675,25.60583333,26.08833333,24.825
205,양재강남빌딩R,36550,4,0,1220010200,37.485192,127.036685,36550,37.485192,127.036685,20210715.5,1220010200,657,4,41.51,43.0975,44.9175,45.8525,46.5475,42.8825,37.925,30.37,29.5525,28.96,27.14,25.4625,29.29,31.425,29.8075,24.225,21.2275,17.9125,17.865,25.005,32.3225,35.4675,37.4525,40.585
206,양재역,50429,4,0,1210013700,37.4820475,127.0367682,50429,37.4820475,127.0367682,20210715.5,1210013700,843,4,26.2325,25.715,26.405,25,22.6775,24.8275,26.985,23.715,19.4725,16.3025,13.925,13.9325,19.215,19.6325,19.2275,18.155,18.1475,18.46,20.33,22.58,24.1675,23.9675,22.1425,22.575
217,연세종합관,47972,4,0,1120004300,37.56177145,126.9414708,47972,37.56177145,126.9414708,20210715.5,1120004300,565,4,30.015,31.0425,30.475,32.345,33.605,32.745,34.5375,29.3325,25.8975,23.2275,21.0325,19.3525,16.31,17.04,14.8875,12.8575,10.43,9.5125,9.6,10.9725,20.6825,29.1575,31.2175,33.49
227,예술의전당,64170,4,0,1210013400,37.48115265,127.0134724,64170,37.48115265,127.0134724,20210715.5,1210013400,471,4,23.4625,26.56,28.6575,26.3975,26.5375,29.7325,28.2625,26.4475,24.8825,23.385,23.39,22.875,22.6525,24.42,24.0825,21.745,19.675,18.5525,15.0375,17.44,23.5675,24.77,25.98,22.7525
250,잠실시그마타워,37001,4,0,1230027300,37.514567,127.102493,37001,37.514567,127.102493,20210715.5,1230027300,630,4,31.3475,33.935,35.8275,38.7375,36.1725,33.09,28.4725,21.92,19.1675,19.5,19.0875,19.3875,21.1,20.615,19.63,18.1,18.78,18.78,17.7725,19.765,21.58,21.09,23.7325,26.78
253,종각,53772,4,0,1000000600,37.5699183,126.9845281,53772,37.5699183,126.9845281,20210715.5,1000000600,415,4,28.3675,31.7725,33.6325,35.685,34.3575,35.1575,32.0025,26.545,23.9125,18.365,12.0225,9.6975,9.975,11.155,9.415,9.725,11.69,17.7575,16.1125,17.91,21.755,22.9775,24.08,26.915
254,종로3가,53772,4,0,1000001100,37.5705527,126.9902055,53772,37.5705527,126.9902055,20210715.5,1000001100,393,4,20.3575,21.66,21.38,21.9025,23.895,25.7975,24.5575,20.2725,17.0575,19.2675,18.7575,19.135,17.7125,17.8725,15.9525,15.225,14.615,14.565,13.3225,15.1775,18.84,21.245,18.895,17.8475
255,종암,39291,4,0,1070010400,37.601095,127.033847,39291,37.601095,127.033847,20210715.5,1070010400,1205,4,20.615,21.1625,20.9925,20.815,21.84,23.9175,24.9075,24.275,22.5725,20.4975,18.4425,15.58,13.8325,13.725,15.1375,14.0875,11.5,10.0425,9.85,11.0225,16.7425,24.305,20.9775,18.135
263,천호대로길동,51131,5,0,1240000400,37.534651,127.13721,51131,37.534651,127.13721,20210715.5,1240000400,407,5,26.77,30.3075,32.5875,35.2,38.1625,34.335,31.8,27.0425,22.5475,21.8775,22.9825,22.275,22.1475,21.735,18.6225,17.9575,17.9275,20.2825,21.3825,23.3825,26.2625,27.675,27.2675,28.115
272,포스코사거리,35255,4,0,1220028050,37.5075307,127.0574271,35255,37.5075307,127.0574271,20210715.5,1220028050,622,4,21.04875,23.8025,24.73625,25.8225,27.72875,31.65625,31.80125,22.51625,18.86,16.4725,13.99375,13.29875,15.38375,14.265,12.60375,12.20375,13.08375,13.34875,15.41125,18.31125,20.22125,19.7875,16.56875,16.7425
256,종암DT,39291,4,0,1070007533,37.5919525,127.0360401,39291,37.5919525,127.0360401,20210715.5,1070007533,203,4,36.71083333,36.67833333,37.02833333,36.80833333,36.62166667,35.81583333,31.68083333,25.75083333,19.71666667,21.61,24.69583333,28.0475,28.46916667,27.50083333,27.75916667,28.07166667,27.91916667,26.94666667,25.79083333,26.50416667,28.81333333,29.02166667,29.60666667,32.8625
