,LINK_ID,store_name,store_addr,lat_x,lot_x,도로_x,layer,path,지역,구로구,동,도로_y,유동인구_평균,lat_y,lot_y,일자,요일,도로명,링크아이디,시점명,종점명,방향,거리,차선수,기능유형구분,도심/외곽구분,권역구분,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
5171,1130012300,상수역,서울특별시 마포구 독막로 88 (상수동)1522-3232,37.5474817,126.9232158,독막로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서강동,독막로,25350,37.5474817,126.9232158,20210726,월,독막로,1130012300,상수역,광흥창역,하행,744,3,보조간선도로,외곽,마포구,30.43,28.88,28.72,27.57,28.88,30.39,27.26,23.68,21.08,20.85,21.88,19.31,21.21,21.59,22.14,20.33,20.41,23.41,21.77,25.15,25.97,25.7,24.39,27.82
5181,1020016200,공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩1522-3232,37.5424641,126.9505773,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.5424641,126.9505773,20210705,월,새창로,1020016200,도화현대아파트,마포우체국,하행,632,1,기타도로,외곽,용산구,22.36,26.07,29.05,27.03,28.74,24.41,22.15,17.59,14.16,15.79,17.77,18.99,14.39,16.05,17.81,17.15,17.11,15.85,16.16,16.07,16.22,15.97,21.35,21.11
5188,1020016200,공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩1522-3232,37.5424641,126.9505773,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.5424641,126.9505773,20210712,월,새창로,1020016200,도화현대아파트,마포우체국,하행,632,1,기타도로,외곽,용산구,26.04,24.31,27.0,24.44,28.79,25.67,19.59,23.96,16.34,21.35,19.86,21.8,19.1,15.44,15.71,16.65,19.2,15.91,15.15,15.25,20.25,18.09,17.41,20.0
5195,1020016200,공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩1522-3232,37.5424641,126.9505773,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.5424641,126.9505773,20210719,월,새창로,1020016200,도화현대아파트,마포우체국,하행,632,1,기타도로,외곽,용산구,21.26,27.46,29.35,29.23,28.8,28.65,22.86,18.47,14.02,19.74,18.27,21.68,19.64,16.68,14.43,16.06,16.2,16.23,14.34,17.15,17.34,18.84,17.14,22.09
5202,1020016200,공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩1522-3232,37.5424641,126.9505773,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.5424641,126.9505773,20210726,월,새창로,1020016200,도화현대아파트,마포우체국,하행,632,1,기타도로,외곽,용산구,24.36,23.88,28.71,27.93,29.81,23.8,20.69,19.07,16.12,14.34,15.51,18.42,16.78,18.85,18.05,14.55,16.12,17.04,15.04,20.28,19.3,18.66,18.83,21.4
5212,1130001200,공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩1522-3232,37.5424641,126.9505773,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.5424641,126.9505773,20210705,월,마포대로,1130001200,마포우체국,공덕오거리,하행,202,5,주간선도로,외곽,마포구,20.64,22.06,31.97,32.55,37.17,24.3,17.42,14.83,10.63,9.97,10.57,9.29,12.62,10.13,9.39,8.56,12.36,12.44,10.66,13.07,17.06,15.26,17.5,18.99
5219,1130001200,공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩1522-3232,37.5424641,126.9505773,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.5424641,126.9505773,20210712,월,마포대로,1130001200,마포우체국,공덕오거리,하행,202,5,주간선도로,외곽,마포구,18.23,24.23,31.01,31.34,32.21,23.73,19.82,14.27,9.91,10.77,9.95,12.69,12.35,11.06,10.22,13.42,16.17,14.09,12.23,12.89,16.05,16.24,20.73,18.4
5226,1130001200,공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩1522-3232,37.5424641,126.9505773,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.5424641,126.9505773,20210719,월,마포대로,1130001200,마포우체국,공덕오거리,하행,202,5,주간선도로,외곽,마포구,16.86,17.94,30.15,31.63,28.57,20.03,18.21,13.91,10.23,9.92,12.85,9.88,12.65,11.59,9.28,9.24,12.86,12.31,11.38,13.36,15.73,19.02,24.13,19.84
5233,1130001200,공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩1522-3232,37.5424641,126.9505773,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.5424641,126.9505773,20210726,월,마포대로,1130001200,마포우체국,공덕오거리,하행,202,5,주간선도로,외곽,마포구,20.1,26.29,33.16,36.04,29.47,20.15,20.07,15.18,12.25,10.93,9.87,9.79,11.62,10.27,8.53,9.54,12.39,15.39,12.78,12.52,16.0,17.94,23.32,20.28
5243,1130002200,서교,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층1522-3232,37.551385,126.9169208,양화로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,양화로,62256,37.551385,126.9169208,20210705,월,양화로,1130002200,합정역,서교동사거리,하행,572,3,주간선도로,외곽,마포구,26.83,30.28,30.28,36.15,31.95,30.74,24.0,21.46,22.92,18.98,15.69,19.04,21.91,22.37,19.39,22.51,24.86,23.66,22.38,21.87,24.55,26.02,24.65,25.0
5250,1130002200,서교,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층1522-3232,37.551385,126.9169208,양화로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,양화로,62256,37.551385,126.9169208,20210712,월,양화로,1130002200,합정역,서교동사거리,하행,572,3,주간선도로,외곽,마포구,28.18,26.84,28.8,29.61,27.81,26.41,23.08,23.25,22.77,19.69,19.1,23.29,23.62,22.63,21.49,23.86,25.27,24.17,22.68,23.25,26.2,25.85,25.52,24.72
5257,1130002200,서교,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층1522-3232,37.551385,126.9169208,양화로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,양화로,62256,37.551385,126.9169208,20210719,월,양화로,1130002200,합정역,서교동사거리,하행,572,3,주간선도로,외곽,마포구,27.56,28.68,28.87,25.85,30.09,27.48,22.95,21.81,22.41,20.75,20.12,22.68,23.16,23.63,20.78,21.03,21.71,22.43,22.42,21.94,28.17,24.51,24.01,25.7
5264,1130002200,서교,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층1522-3232,37.551385,126.9169208,양화로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,양화로,62256,37.551385,126.9169208,20210726,월,양화로,1130002200,합정역,서교동사거리,하행,572,3,주간선도로,외곽,마포구,26.49,29.02,32.69,27.1,27.46,22.83,23.87,21.92,21.7,18.07,16.75,16.53,21.17,21.13,22.47,22.14,23.35,22.83,21.69,22.94,26.22,23.39,24.82,26.4
5274,1130015000,서강대,서울특별시 마포구 백범로 23 (신수동)1522-3232,37.5524584,126.9378262,백범로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,신수동,백범로,18567,37.5524584,126.9378262,20210705,월,백범로,1130015000,서강대앞,신촌로터리,하행,600,3,보조간선도로,외곽,마포구,25.53,27.93,25.58,24.46,26.63,23.43,24.15,23.97,25.32,22.55,21.49,19.7,19.46,18.99,17.42,17.12,16.64,14.22,14.36,12.54,17.42,21.91,21.28,23.28
5281,1130015000,서강대,서울특별시 마포구 백범로 23 (신수동)1522-3232,37.5524584,126.9378262,백범로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,신수동,백범로,18567,37.5524584,126.9378262,20210712,월,백범로,1130015000,서강대앞,신촌로터리,하행,600,3,보조간선도로,외곽,마포구,30.64,25.57,29.74,27.86,20.25,29.03,24.13,24.85,23.2,21.35,20.05,19.76,20.49,19.79,17.04,17.7,18.39,14.33,14.92,13.7,18.85,21.01,20.74,23.56
5288,1130015000,서강대,서울특별시 마포구 백범로 23 (신수동)1522-3232,37.5524584,126.9378262,백범로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,신수동,백범로,18567,37.5524584,126.9378262,20210719,월,백범로,1130015000,서강대앞,신촌로터리,하행,600,3,보조간선도로,외곽,마포구,23.05,31.85,23.83,24.25,21.54,28.08,21.25,22.7,20.88,19.41,19.16,18.45,17.86,16.51,17.01,13.64,12.99,13.46,11.56,10.42,14.88,16.99,20.38,21.53
5295,1130015000,서강대,서울특별시 마포구 백범로 23 (신수동)1522-3232,37.5524584,126.9378262,백범로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,신수동,백범로,18567,37.5524584,126.9378262,20210726,월,백범로,1130015000,서강대앞,신촌로터리,하행,600,3,보조간선도로,외곽,마포구,22.37,21.34,18.89,18.5,27.43,23.64,21.08,23.19,21.83,20.05,20.02,18.11,20.6,16.47,16.9,18.36,15.11,14.3,15.61,14.46,18.27,22.74,23.23,19.09
5305,1130003700,홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)1522-3232",37.557175,126.923654,양화로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,양화로,62256,37.557175,126.923654,20210705,월,양화로,1130003700,동교동삼거리,홍대입구역,상행,597,3,주간선도로,외곽,마포구,19.11,18.39,21.71,23.67,23.55,21.73,23.85,23.13,19.31,17.88,17.57,16.43,15.01,13.67,14.07,14.32,12.73,11.97,12.37,13.45,14.73,15.58,18.33,16.96
5312,1130003700,홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)1522-3232",37.557175,126.923654,양화로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,양화로,62256,37.557175,126.923654,20210712,월,양화로,1130003700,동교동삼거리,홍대입구역,상행,597,3,주간선도로,외곽,마포구,19.25,23.38,23.31,22.19,22.97,24.19,24.71,23.83,20.15,18.17,17.13,15.68,13.89,14.36,13.41,13.79,13.27,13.3,12.42,14.11,13.56,15.02,15.05,16.14
5319,1130003700,홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)1522-3232",37.557175,126.923654,양화로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,양화로,62256,37.557175,126.923654,20210719,월,양화로,1130003700,동교동삼거리,홍대입구역,상행,597,3,주간선도로,외곽,마포구,19.23,20.61,23.37,25.87,24.01,22.52,23.67,22.91,21.74,19.79,17.07,15.53,14.23,14.13,14.39,12.06,11.3,13.99,15.22,17.92,15.43,15.14,15.02,17.3
5326,1130003700,홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)1522-3232",37.557175,126.923654,양화로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,양화로,62256,37.557175,126.923654,20210726,월,양화로,1130003700,동교동삼거리,홍대입구역,상행,597,3,주간선도로,외곽,마포구,17.71,21.88,21.57,20.39,22.38,19.95,23.13,23.52,21.34,19.26,16.38,15.43,14.67,14.55,14.08,13.19,13.7,10.54,10.68,13.57,14.71,14.39,16.3,17.35
5336,1130003800,홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)1522-3232",37.557175,126.923654,양화로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,양화로,62256,37.557175,126.923654,20210705,월,양화로,1130003800,홍대입구역,동교동삼거리,하행,590,3,주간선도로,외곽,마포구,18.04,24.93,23.96,25.44,28.19,25.93,22.86,18.81,19.86,17.33,16.87,17.31,19.36,17.59,15.01,16.65,16.73,17.67,16.96,17.47,16.76,16.56,17.65,18.83
5343,1130003800,홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)1522-3232",37.557175,126.923654,양화로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,양화로,62256,37.557175,126.923654,20210712,월,양화로,1130003800,홍대입구역,동교동삼거리,하행,590,3,주간선도로,외곽,마포구,21.43,21.09,24.41,24.53,23.42,23.44,24.07,23.04,21.11,16.64,17.29,17.17,18.57,18.06,17.35,17.06,18.48,18.54,13.26,13.61,17.25,18.48,18.87,20.04
5350,1130003800,홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)1522-3232",37.557175,126.923654,양화로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,양화로,62256,37.557175,126.923654,20210719,월,양화로,1130003800,홍대입구역,동교동삼거리,하행,590,3,주간선도로,외곽,마포구,22.36,23.24,23.17,16.72,22.8,23.76,23.15,20.94,19.89,18.75,18.41,18.54,18.39,18.23,14.74,12.78,13.27,12.74,10.3,12.52,16.54,17.14,18.01,20.48
5357,1130003800,홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)1522-3232",37.557175,126.923654,양화로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,양화로,62256,37.557175,126.923654,20210726,월,양화로,1130003800,홍대입구역,동교동삼거리,하행,590,3,주간선도로,외곽,마포구,20.58,20.48,28.39,28.14,29.39,26.09,24.41,22.26,18.72,17.57,16.03,16.33,15.98,15.99,15.86,15.34,16.65,17.57,15.92,14.87,16.88,16.88,17.85,18.46
5367,1130018600,동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)1522-3232",37.556928,126.919819,월드컵북로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,월드컵북로,62256,37.556928,126.919819,20210705,월,월드컵북로,1130018600,서교동주민센터,경성고교입구,상행,607,3,보조간선도로,외곽,마포구,22.89,20.7,25.2,22.41,17.27,23.42,23.06,22.87,25.0,23.05,23.49,20.28,24.3,23.68,18.94,16.55,20.16,19.02,16.34,15.47,15.44,19.29,22.23,23.13
5374,1130018600,동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)1522-3232",37.556928,126.919819,월드컵북로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,월드컵북로,62256,37.556928,126.919819,20210712,월,월드컵북로,1130018600,서교동주민센터,경성고교입구,상행,607,3,보조간선도로,외곽,마포구,20.84,23.26,30.6,28.27,29.86,29.64,30.71,20.67,24.13,22.66,21.4,23.03,23.67,20.7,18.15,19.91,19.56,15.97,14.16,13.2,15.34,19.55,18.91,22.28
5381,1130018600,동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)1522-3232",37.556928,126.919819,월드컵북로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,월드컵북로,62256,37.556928,126.919819,20210719,월,월드컵북로,1130018600,서교동주민센터,경성고교입구,상행,607,3,보조간선도로,외곽,마포구,26.2,28.18,28.41,30.2,20.32,21.76,21.44,18.79,22.56,22.6,21.77,20.6,21.83,23.16,19.84,17.39,14.27,12.92,14.67,18.12,14.55,16.32,19.46,20.37
5388,1130018600,동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)1522-3232",37.556928,126.919819,월드컵북로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,서교동,월드컵북로,62256,37.556928,126.919819,20210726,월,월드컵북로,1130018600,서교동주민센터,경성고교입구,상행,607,3,보조간선도로,외곽,마포구,21.45,27.72,17.82,23.38,27.44,26.58,26.69,21.55,26.19,24.61,21.0,21.34,23.74,21.77,23.03,18.33,17.76,18.64,14.77,12.47,14.32,18.19,21.99,19.59
5398,1130001800,애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)1522-3232",37.55218737,126.9555203,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,아현동,마포대로,26391,37.55218737,126.9555203,20210705,월,마포대로,1130001800,공덕오거리,아현초등학교,하행,1309,4,주간선도로,외곽,마포구,30.44,30.02,31.37,31.74,37.29,33.35,28.37,21.33,17.14,22.09,22.83,23.02,24.89,22.08,18.68,17.39,23.81,26.88,25.09,24.67,26.27,25.19,25.39,27.54
5405,1130001800,애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)1522-3232",37.55218737,126.9555203,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,아현동,마포대로,26391,37.55218737,126.9555203,20210712,월,마포대로,1130001800,공덕오거리,아현초등학교,하행,1309,4,주간선도로,외곽,마포구,32.48,32.26,32.31,32.3,29.6,32.02,28.75,23.55,19.37,21.99,23.42,23.45,25.58,25.61,21.5,23.59,25.48,26.27,24.83,24.76,26.74,26.39,27.1,28.78
5412,1130001800,애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)1522-3232",37.55218737,126.9555203,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,아현동,마포대로,26391,37.55218737,126.9555203,20210719,월,마포대로,1130001800,공덕오거리,아현초등학교,하행,1309,4,주간선도로,외곽,마포구,31.05,32.63,31.69,33.51,31.39,30.23,27.29,22.31,15.09,19.32,21.42,21.07,23.05,22.24,18.95,21.46,23.74,24.25,23.92,24.74,26.26,26.01,26.73,29.43
5419,1130001800,애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)1522-3232",37.55218737,126.9555203,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,아현동,마포대로,26391,37.55218737,126.9555203,20210726,월,마포대로,1130001800,공덕오거리,아현초등학교,하행,1309,4,주간선도로,외곽,마포구,34.08,31.45,31.29,31.75,29.02,31.75,28.31,23.3,19.79,23.19,22.84,22.75,22.69,22.47,23.46,24.81,25.5,26.87,24.81,25.28,26.16,26.8,27.59,29.67
5429,1130026500,상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)1522-3232",37.577623,126.890684,월드컵북로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,상암동,월드컵북로,46250,37.577623,126.890684,20210705,월,월드컵북로,1130026500,디지털미디어시티,상암초교,하행,198,4,보조간선도로,외곽,마포구,27.93,26.18,30.39,40.64,28.57,22.3,22.05,23.84,23.52,21.1,18.91,19.9,20.25,24.37,17.77,20.7,17.14,19.17,17.61,21.34,23.33,23.56,27.49,26.04
5436,1130026500,상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)1522-3232",37.577623,126.890684,월드컵북로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,상암동,월드컵북로,46250,37.577623,126.890684,20210712,월,월드컵북로,1130026500,디지털미디어시티,상암초교,하행,198,4,보조간선도로,외곽,마포구,26.38,25.71,26.86,30.38,29.38,21.52,22.76,19.59,21.47,26.77,21.56,18.2,20.09,21.88,20.92,19.59,17.46,18.07,20.71,23.31,23.36,25.8,29.22,29.39
5443,1130026500,상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)1522-3232",37.577623,126.890684,월드컵북로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,상암동,월드컵북로,46250,37.577623,126.890684,20210719,월,월드컵북로,1130026500,디지털미디어시티,상암초교,하행,198,4,보조간선도로,외곽,마포구,26.15,23.89,16.14,38.83,31.41,22.79,11.3,13.77,18.08,19.02,22.64,25.01,17.65,23.26,25.44,21.55,18.05,17.96,21.05,23.36,24.74,28.25,27.64,30.58
5450,1130026500,상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)1522-3232",37.577623,126.890684,월드컵북로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,상암동,월드컵북로,46250,37.577623,126.890684,20210726,월,월드컵북로,1130026500,디지털미디어시티,상암초교,하행,198,4,보조간선도로,외곽,마포구,31.11,33.59,24.52,32.18,38.88,27.04,20.34,26.26,23.97,19.45,20.59,25.38,20.91,24.1,23.42,21.68,21.86,20.91,24.91,23.19,25.16,23.49,28.99,29.53
5460,1130000500,마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)1522-3232",37.54043451,126.9463168,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.54043451,126.9463168,20210705,월,마포대로,1130000500,마포우체국,마포역,상행,573,5,주간선도로,외곽,마포구,23.79,25.63,32.98,42.87,46.41,30.67,31.41,27.84,27.06,26.09,29.61,26.31,24.24,24.02,22.45,23.66,21.32,18.12,18.28,20.87,24.05,24.81,25.97,24.96
5467,1130000500,마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)1522-3232",37.54043451,126.9463168,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.54043451,126.9463168,20210712,월,마포대로,1130000500,마포우체국,마포역,상행,573,5,주간선도로,외곽,마포구,24.08,23.59,34.18,41.69,40.53,32.15,32.44,29.28,25.79,29.78,30.69,27.15,25.95,25.46,21.98,20.96,20.43,14.52,16.75,20.31,24.13,26.85,30.98,25.12
5474,1130000500,마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)1522-3232",37.54043451,126.9463168,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.54043451,126.9463168,20210719,월,마포대로,1130000500,마포우체국,마포역,상행,573,5,주간선도로,외곽,마포구,23.92,25.51,36.1,45.41,37.06,29.03,35.0,29.37,23.43,30.22,28.35,25.44,25.21,24.76,20.25,24.94,22.85,17.15,14.59,13.92,20.51,27.69,30.68,24.77
5481,1130000500,마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)1522-3232",37.54043451,126.9463168,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.54043451,126.9463168,20210726,월,마포대로,1130000500,마포우체국,마포역,상행,573,5,주간선도로,외곽,마포구,26.17,26.44,33.77,38.86,40.07,33.07,32.39,30.4,24.19,30.39,30.16,27.07,27.9,22.15,22.56,23.64,19.91,17.97,20.26,18.45,24.11,26.6,30.05,25.29
5491,1130000500,마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워1522-3232,37.54145556,126.948819,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.54145556,126.948819,20210705,월,마포대로,1130000500,마포우체국,마포역,상행,573,5,주간선도로,외곽,마포구,23.79,25.63,32.98,42.87,46.41,30.67,31.41,27.84,27.06,26.09,29.61,26.31,24.24,24.02,22.45,23.66,21.32,18.12,18.28,20.87,24.05,24.81,25.97,24.96
5498,1130000500,마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워1522-3232,37.54145556,126.948819,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.54145556,126.948819,20210712,월,마포대로,1130000500,마포우체국,마포역,상행,573,5,주간선도로,외곽,마포구,24.08,23.59,34.18,41.69,40.53,32.15,32.44,29.28,25.79,29.78,30.69,27.15,25.95,25.46,21.98,20.96,20.43,14.52,16.75,20.31,24.13,26.85,30.98,25.12
5505,1130000500,마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워1522-3232,37.54145556,126.948819,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.54145556,126.948819,20210719,월,마포대로,1130000500,마포우체국,마포역,상행,573,5,주간선도로,외곽,마포구,23.92,25.51,36.1,45.41,37.06,29.03,35.0,29.37,23.43,30.22,28.35,25.44,25.21,24.76,20.25,24.94,22.85,17.15,14.59,13.92,20.51,27.69,30.68,24.77
5512,1130000500,마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워1522-3232,37.54145556,126.948819,마포대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,마포구,도화동,마포대로,20724,37.54145556,126.948819,20210726,월,마포대로,1130000500,마포우체국,마포역,상행,573,5,주간선도로,외곽,마포구,26.17,26.44,33.77,38.86,40.07,33.07,32.39,30.4,24.19,30.39,30.16,27.07,27.9,22.15,22.56,23.64,19.91,17.97,20.26,18.45,24.11,26.6,30.05,25.29
