,LINK_ID,store_name,store_addr,lat_x,lot_x,도로_x,layer,path,지역,구로구,동,도로_y,유동인구_평균,lat_y,lot_y,일자,요일,도로명,링크아이디,시점명,종점명,방향,거리,차선수,기능유형구분,도심/외곽구분,권역구분,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
80,1220030700,신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동)1522-3232,37.514132,127.020563,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.514132,127.020563,20210719,월,강남대로,1220030700,논현역,신사역,상행,579,4,주간선도로,외곽,서초구,26.84,27.46,28.99,28.39,29.39,32.17,30.79,26.59,26.9,21.48,11.64,9.29,11.04,10.48,9.55,14.38,11.68,18.57,19.9,16.98,24.18,28.88,27.95,27.22
87,1220030700,신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동)1522-3232,37.514132,127.020563,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.514132,127.020563,20210726,월,강남대로,1220030700,논현역,신사역,상행,579,4,주간선도로,외곽,서초구,25.98,26.91,26.93,29.76,30.73,32.58,30.27,27.19,19.5,14.29,12.51,9.59,14.32,12.23,13.1,7.68,7.59,13.87,18.14,19.05,23.34,28.3,28.28,26.78
97,1220030600,신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동)1522-3232,37.514132,127.020563,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.514132,127.020563,20210705,월,강남대로,1220030600,신사역,논현역,하행,581,4,주간선도로,외곽,서초구,20.55,20.52,21.05,20.06,22.59,23.97,26.49,17.93,10.88,8.4,7.66,7.91,8.43,8.19,8.2,10.13,9.28,7.92,7.84,10.91,18.48,19.89,20.81,20.17
104,1220030600,신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동)1522-3232,37.514132,127.020563,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.514132,127.020563,20210712,월,강남대로,1220030600,신사역,논현역,하행,581,4,주간선도로,외곽,서초구,20.7,21.74,25.43,22.8,22.66,28.04,27.58,19.74,11.13,10.16,9.26,7.44,9.74,8.04,9.98,11.34,11.87,8.6,11.35,14.01,20.37,21.13,22.54,20.33
111,1220030600,신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동)1522-3232,37.514132,127.020563,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.514132,127.020563,20210719,월,강남대로,1220030600,신사역,논현역,하행,581,4,주간선도로,외곽,서초구,21.75,19.45,22.25,23.0,22.19,25.47,24.62,17.3,10.38,8.17,6.84,6.49,8.18,8.06,8.26,10.04,9.63,9.1,8.31,10.75,17.46,21.95,22.52,20.86
118,1220030600,신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동)1522-3232,37.514132,127.020563,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.514132,127.020563,20210726,월,강남대로,1220030600,신사역,논현역,하행,581,4,주간선도로,외곽,서초구,19.9,22.07,21.49,24.28,21.04,26.8,25.73,18.01,10.75,8.51,7.92,9.04,9.3,7.26,9.45,11.09,9.22,8.14,7.73,12.36,20.48,21.5,22.09,19.52
128,1220024000,국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동)1522-3232,37.499517,127.031495,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.499517,127.031495,20210705,월,테헤란로,1220024000,역삼역,국기원앞,상행,557,4,주간선도로,외곽,강남구,34.24,38.64,38.25,37.04,36.62,44.56,37.04,29.76,27.23,27.69,26.24,27.38,30.14,28.07,21.83,14.8,12.69,9.23,6.18,15.88,28.36,31.67,32.71,34.71
135,1220024000,국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동)1522-3232,37.499517,127.031495,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.499517,127.031495,20210712,월,테헤란로,1220024000,역삼역,국기원앞,상행,557,4,주간선도로,외곽,강남구,32.64,34.09,36.08,37.71,38.29,37.45,34.46,28.77,27.06,26.6,24.58,23.51,27.82,23.03,22.02,22.13,15.05,9.64,6.63,13.9,29.66,30.43,29.92,36.23
142,1220024000,국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동)1522-3232,37.499517,127.031495,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.499517,127.031495,20210719,월,테헤란로,1220024000,역삼역,국기원앞,상행,557,4,주간선도로,외곽,강남구,30.58,38.2,37.43,36.24,38.82,38.84,37.66,29.62,28.25,26.95,26.52,27.07,27.48,25.95,17.83,12.03,7.53,5.56,4.81,5.35,20.7,29.35,31.52,37.79
149,1220024000,국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동)1522-3232,37.499517,127.031495,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.499517,127.031495,20210726,월,테헤란로,1220024000,역삼역,국기원앞,상행,557,4,주간선도로,외곽,강남구,35.22,38.29,40.06,34.75,39.05,35.83,33.66,29.34,28.51,26.67,26.66,27.58,25.27,27.99,20.62,15.2,10.41,10.4,6.78,13.69,28.18,31.6,33.22,37.21
