,store_name,유동인구_평균_x,차선수_x,cluster,LINK_ID,lat_x,lot_x,유동인구_평균_y,lat_y,lot_y,일자,링크아이디,거리,차선수_y,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
17,경희궁로,22874.0,0.0,4,1000026700.0,37.571759,126.97234299999997,22874.0,37.571759,126.97234299999997,20210715.5,1000026700.0,163.0,0.0,19.87125,23.067499999999995,17.865000000000002,19.526250000000005,17.965000000000003,20.470000000000002,21.366249999999997,19.874999999999996,16.43375,15.6075,16.111250000000002,15.661249999999999,16.055000000000003,18.195,16.68625,15.976250000000002,17.5275,16.778750000000002,15.392499999999998,17.215000000000003,19.27375,19.8875,19.305,19.9225
24,광운대,23363.0,1.0,4,1100008400.0,37.6231479,127.06070090000001,23363.0,37.6231479,127.06070090000001,20210715.5,1100008400.0,1097.0,1.0,28.715000000000003,30.877500000000005,30.994999999999997,30.1575,30.2175,27.0275,24.7175,24.875000000000004,25.22,23.972499999999997,22.4575,22.447499999999994,22.9575,22.8075,23.577499999999997,24.1975,21.997500000000002,20.9725,20.5875,20.330000000000002,20.949999999999996,22.64,23.889999999999997,25.3425
26,광화문D타워,22874.0,1.0,4,1000006700.0,37.5714,126.9788297,22874.0,37.5714,126.9788297,20210715.5,1000006700.0,251.0,1.0,22.9075,24.804999999999996,26.810000000000002,23.065,26.1175,25.055,25.669999999999998,22.4025,16.6225,16.605,15.400000000000002,13.937499999999998,15.280000000000001,15.665,15.8025,15.3525,16.125,16.945,13.2225,14.39,16.6925,17.7025,20.38,22.36
46,남가좌사거리,20391.0,1.0,4,1120009100.0,37.577386,126.92081499999998,20391.0,37.577386,126.92081499999998,20210715.5,1120009100.0,436.0,1.0,13.86,19.427500000000002,11.4475,13.1275,21.385,16.29,13.8575,16.44,13.247499999999999,13.8525,14.0375,13.7575,15.36,16.7075,14.66,15.350000000000001,16.182499999999997,14.817499999999999,14.320000000000002,15.784999999999998,14.575,14.967500000000001,14.295000000000002,16.365
78,동빙고,16698.0,1.0,4,1020006700.0,37.5289857,126.99178200000003,16698.0,37.5289857,126.99178200000003,20210715.5,1020006700.0,1025.0,1.0,25.47,26.874999999999996,24.349999999999998,28.4475,24.915,26.165,25.2325,24.02,21.2625,21.689999999999998,19.2975,18.675,19.395,18.9075,18.14,18.0875,19.7725,19.4375,18.5825,18.9575,19.814999999999998,21.729999999999997,23.1925,24.785000000000004
93,명동입구,28483.0,1.0,4,1010009100.0,37.563319,126.982242,28483.0,37.563319,126.982242,20210715.5,1010009100.0,246.0,1.0,27.005000000000003,37.16,36.51,41.05,32.51,31.41,27.83,19.48,31.52,26.765,22.12,26.07,33.06,26.88,34.572500000000005,32.83,31.33,29.17,32.18,25.56,29.44,35.13,21.59,28.025
123,사가정역,20503.0,1.0,4,1060007600.0,37.57959399999999,127.08796600000002,20503.0,37.57959399999999,127.08796600000002,20210715.5,1060007600.0,1172.0,1.0,20.907500000000002,24.5575,26.810000000000002,23.7075,23.6025,20.965,18.362499999999997,16.865,15.2375,15.915,13.325,12.7125,11.9575,12.39,12.4875,12.040000000000001,12.23,10.5025,10.6975,11.79,14.725000000000001,15.7475,17.540000000000003,20.095
127,삼청동,5268.0,1.0,4,1000018733.3333334,37.58538099999999,126.98175119999998,5268.0,37.58538099999999,126.98175119999998,20210715.5,1000018733.3333334,353.3333333333333,1.0,28.12166666666667,29.4025,28.600000000000005,30.74416666666666,30.598333333333333,32.20333333333333,31.586666666666662,26.7675,21.049999999999997,24.782500000000002,27.349166666666672,26.009166666666673,25.269999999999996,25.539999999999992,25.352500000000003,25.79583333333333,26.482499999999998,25.65833333333333,25.7525,26.426666666666666,27.879166666666663,28.366666666666664,29.065,29.986666666666665
162,성수역,31881.0,1.0,4,1030005400.0,37.543193,127.05694300000002,31881.0,37.543193,127.05694300000002,20210715.5,1030005400.0,631.0,1.0,25.945,24.622500000000002,28.580000000000002,28.17,26.825000000000003,28.265,26.185000000000002,22.9675,19.4225,18.947499999999998,18.5125,17.39,17.4425,16.224999999999998,15.3875,16.4425,14.795000000000002,15.91,14.915,19.055,20.2125,20.0625,22.03,24.6125
163,소공로,24141.0,1.0,4,1010009100.0,37.56372729999999,126.98076809999999,24141.0,37.56372729999999,126.98076809999999,20210715.5,1010009100.0,246.0,1.0,27.005000000000003,37.16,36.51,41.050000000000004,32.51,31.41,27.82999999999999,19.48,31.520000000000003,26.765000000000004,22.12,26.069999999999997,33.06,26.88,34.572500000000005,32.82999999999999,31.32999999999999,29.17000000000001,32.18,25.56,29.44,35.13,21.59,28.025000000000002
170,송파사거리,29578.0,1.0,4,1230016300.0,37.5022788,127.11039040000001,29578.0,37.5022788,127.11039040000001,20210715.5,1230016300.0,478.0,1.0,25.255,26.575,33.0325,26.127499999999998,29.490000000000002,27.305,23.510000000000005,18.76,15.930000000000001,15.257499999999999,14.09,14.0975,16.337500000000002,15.790000000000001,14.735000000000001,14.225,15.040000000000001,14.065000000000001,14.487499999999999,14.997499999999999,17.427500000000002,18.717499999999998,18.71,22.064999999999998
