store_name,유동인구_평균,차선수,cluster
상왕십리역,30053.0,2.0,5
서강광흥창역,25350.0,4.0,7
서강대,18567.0,3.0,6
서강대흥역,20883.0,3.0,6
서교,62256.0,3.0,3
서교동사거리,62256.0,3.0,3
서대문역,33585.0,3.0,1
서소문,24141.0,3.0,6
서소문로,24141.0,3.0,6
서소문배재,24141.0,3.0,6
서울교대,31186.0,3.0,1
서울대역,18871.0,4.0,7
서울대입구역,38481.0,4.0,0
서울세관사거리,41704.0,3.0,1
서울아트센터,64170.0,4.0,0
서울역서부,20780.0,2.0,5
서이초교사거리,41879.0,2.0,5
서초구청,41879.0,4.25,0
서초동,31186.0,3.0,1
서초법원,64170.0,3.0,3
서초우성사거리,41879.0,4.0,0
서초중앙로,40479.0,3.0,1
석촌서호,31091.0,3.0,1
석촌호수,29578.0,2.0,5
선릉동신빌딩R,38899.0,4.0,0
선릉역,97922.0,4.0,2
선유도역,29001.0,2.0,5
선유동이레빌딩,29001.0,4.0,7
선정릉역,38899.0,3.0,1
성대입구,26705.0,4.0,7
성수낙낙,31881.0,2.0,5
성수역,31881.0,1.0,4
소공로,24141.0,1.0,4
소공로북창,24141.0,2.0,5
송파개롱역,28576.0,3.0,1
송파구청,33071.0,3.0,1
송파나루역DT,29578.0,3.0,1
송파마천사거리DT,16923.0,2.0,5
송파방이DT,18752.0,3.0,6
송파사거리,29578.0,1.0,4
송파위례,34098.0,0.0,4
수유역,19348.0,2.0,5
숙대,20780.0,1.0,4
숭실대,43961.0,2.0,5
스탈릿대치R,28358.0,4.0,7
스페이스본,22874.0,2.0,5
시청,28483.0,2.0,5
시청플러스,28483.0,2.0,5
신논현역,33095.0,4.0,7
신당역,10619.0,3.0,6
신당역사거리,12939.0,3.0,6
신림,26927.0,2.0,5
신림DT,26927.0,4.0,7
신림사거리,26927.0,4.0,7
신림역포도몰,26927.0,2.5,5
신사역성일빌딩,41326.0,4.0,0
신설동역,37959.0,2.0,5
신세계본점5F,22260.0,4.0,7
신세계타임스퀘어1F,50662.0,3.0,3
신세계타임스퀘어B2,50662.0,3.0,3
신월동DT,13831.0,4.0,7
신정DT,32888.0,3.0,1
쌍문도봉로,27454.0,2.0,5
쌍문역,23362.0,2.0,5
아차산역,21339.0,4.0,7
아크로힐스논현,97922.0,3.0,2
아크플레이스,97922.0,4.0,2
아현역,35527.0,0.0,4
압구정로데오역,43176.0,3.0,1
압구정미소,34464.0,2.333333333333333,5
압구정역,34464.0,2.333333333333333,5
압구정윤성빌딩,34464.0,2.6666666666666665,1
애오개역,26391.0,4.0,7
약수역,22896.0,3.333333333333333,6
양재강남빌딩R,36550.0,4.0,0
양재역,50429.0,4.0,0
양천향교역,48802.0,3.0,3
어린이대공원역,19317.0,3.0,6
역삼대로,97922.0,4.0,2
역삼럭키,97922.0,3.0,2
역삼역,97922.0,4.0,2
역삼이마트,52263.0,2.0,3
역삼초교사거리,97922.0,2.0,2
역삼포스코,97922.0,4.0,2
연대동문,47972.0,3.0,3
연세세브란스,22260.0,2.0,5
연세종합관,47972.0,4.0,0
연신내,23762.0,3.0,6
연신내역사거리,33281.0,3.0,1
연희DT,37606.0,2.0,5
연희동,37606.0,2.0,5
염창역,32346.0,4.0,7
영동2교,50429.0,3.0,3
영등포KT,50662.0,3.0,3
영등포본동,18657.0,3.0,6
영등포시장교차로,22766.0,3.0,6
예술의전당,64170.0,4.0,0
올림픽공원북2문,24938.0,1.0,4
올림픽대교북단,31265.0,2.2,5
올림픽훼미리,40430.0,3.0,1
왕십리역,30053.0,2.0,5
외대,21953.0,1.0,4
용산리첸시아,21156.0,2.0,5
우장산역,35165.0,3.0,1
은평구청입구,27437.0,0.0,4
은행사거리,26338.0,2.0,5
을지로2가,28483.0,3.4,1
을지로4가역,16491.0,3.0,6
을지로내외빌딩R,28483.0,3.0,1
을지로한국빌딩,28483.0,3.0,1
을지병원사거리,41704.0,3.0,1
이마빌딩,53772.0,2.0,3
이수역사거리,25146.0,4.0,7
이수자이,25409.0,2.0,5
이촌,27412.0,2.0,5
이태원역,11051.0,2.0,5
자양,23924.0,2.0,5
자양사거리,23924.0,3.0,6
잠실새내역,34861.0,3.0,1
잠실시그마타워,37001.0,4.0,0
장위뉴타운,7700.0,0.0,4
정부서울청사R,22874.0,1.5,5
종각,53772.0,4.0,0
종로3가,53772.0,4.0,0
종암,39291.0,4.0,0
종암DT,39291.0,4.0,0
중계역,48537.0,2.0,3
중곡,16084.0,3.5,6
중구저동,28483.0,1.0,4
중앙대,30536.0,0.0,4
중화역,26002.0,2.0,5
차병원사거리,41704.0,3.0,1
천호대로길동,51131.0,5.0,0
천호로데오,30164.0,5.0,7
천호사거리,45413.0,3.0,1
천호역,25857.0,5.0,7
청담공원,35255.0,3.0,1
충무로역,10438.0,3.0,6
충정타워,36689.0,3.0,1
코엑스몰,35255.0,3.0,1
큰길타워,97922.0,4.0,2
포스코사거리,35255.0,4.0,0
포이,15244.0,3.0,6
포포인츠명동,28483.0,1.0,4
학동역,41704.0,3.0,1
한강진역R,30289.0,2.0,5
한남동R,30289.0,2.0,5
한양대,18069.0,3.0,6
한티역,28358.0,4.0,7
합정,21235.0,3.0,6
홍대공항철도역,62256.0,3.0,3
홍대삼거리,25350.0,1.0,4
홍대역,62256.0,3.0,3
홍대역8번출구,62256.0,3.0,3
홍대입구역사거리R,62256.0,3.0,3
홍제역,15845.0,3.0,6
화곡DT,17986.0,2.0,5
화곡동,47359.0,3.0,3
환구단,24141.0,3.0,6
황학사거리,30053.0,1.6,5
황학캐슬,12939.0,2.0,5
효창공원앞역,10216.0,3.0,6
