store_name,유동인구_평균,차선수,cluster
KG타워,24141.0,4.0,7
SSG마켓도곡R,30953.0,4.0,7
가락시장역,37909.0,2.6666666666666665,1
가재울뉴타운,20391.0,2.0,5
강남R,97922.0,4.0,2
강남구청역,41704.0,2.0,5
강남구청정문,43176.0,3.0,1
강남대로,97922.0,4.0,2
강남대로논현R,33095.0,4.0,7
강남대로신사,34063.0,4.0,7
강남우성,97922.0,4.0,2
강동구청DT,24938.0,2.0,5
강동역,30164.0,5.0,7
강북구청사거리,27859.0,2.0,5
강서구청사거리,20504.0,3.0,6
건국대,33461.0,3.0,1
건대입구,33461.0,3.0,1
경희궁로,22874.0,0.0,4
경희대삼거리,18320.0,2.0,5
공덕,37752.0,4.0,0
공덕오거리,20724.0,2.333333333333333,5
공릉DT,42818.0,2.0,5
공릉역,42818.0,2.0,5
광나루,36473.0,2.0,5
광운대,23363.0,1.0,4
광장,36473.0,3.0,1
광화문D타워,22874.0,1.0,4
광화문우체국,28483.0,4.0,7
교대,31186.0,3.0,1
교대법원,41208.0,3.0,1
교대역,31186.0,2.75,1
구로하이엔드,39268.0,3.0,1
구역삼사거리,97922.0,2.6,2
구의DT,21339.0,3.0,6
구의역,24498.0,2.0,5
구파발역,63305.0,1.0,3
국기원사거리,97922.0,4.0,2
국립중앙의료원,21022.0,3.0,6
군자역,19317.0,3.5,6
굽은다리역,28627.0,2.0,5
금천시흥,28040.0,2.0,5
금호역,12799.0,3.0,6
길동역,51131.0,3.0,3
까치산역,47359.0,3.0,3
낙성대DT,18871.0,4.0,7
낙성대역,18871.0,4.0,7
남가좌사거리,20391.0,1.0,4
남부터미널,31186.0,3.0,1
남부터미널2,64170.0,2.0,3
남성역,19764.0,2.0,5
내방역,25146.0,2.0,5
노량진동,36061.0,3.0,1
노량진역,36061.0,3.0,1
노원마들역,17677.0,3.0,6
노원역,48537.0,2.0,3
논현역사거리,41326.0,4.0,0
논현힐탑,41704.0,3.0,1
답십리역,22891.0,5.0,7
당산,35769.0,2.6666666666666665,1
당산대로,35769.0,3.0,1
당산역사거리,35769.0,2.333333333333333,5
대우재단빌딩,22260.0,2.0,5
대치,49688.0,3.333333333333333,3
대치사거리,49688.0,2.6,3
대치삼성프라자,49688.0,4.0,0
대치역,28358.0,4.0,7
대치은마사거리,49688.0,4.0,0
대치한티,37541.0,3.0,1
도곡공원,52263.0,3.0,3
도곡역,28358.0,4.0,7
독립문역,16799.0,3.0,6
독산사거리,34262.0,2.0,5
동교,62256.0,3.0,3
동대문공원,21022.0,3.0,6
동대문두타,21022.0,4.0,7
동대입구역,10312.0,3.0,6
동묘앞역,13072.0,2.4,6
동부이촌동,27412.0,2.0,5
동빙고,16698.0,1.0,4
둔촌동,26633.0,5.0,7
등촌,39037.0,3.2,1
등촌역,18873.0,4.0,7
뚝섬역,20362.0,3.0,6
르네상스사거리,97922.0,4.0,2
마곡나루공원,32247.0,2.0,5
마곡역,48802.0,4.0,0
마포아크로,20724.0,5.5,7
마포염리,13491.0,2.0,5
마포이마트,20724.0,3.0,6
마포일진빌딩,20724.0,5.0,7
망원역,62256.0,3.0,3
명동남산,28483.0,2.0,5
명동역,28483.0,2.0,5
명동입구,28483.0,1.0,4
명일역,28627.0,2.0,5
목동,40547.0,5.0,0
목동10단지,23312.0,4.0,7
목동7단지,45627.0,5.0,0
목동8단지,20291.0,5.0,7
목동역,32888.0,3.0,1
목동트라팰리스,45627.0,4.0,0
목동파라곤,45627.0,3.5,0
몬테소리,41208.0,3.5,1
무교동,28483.0,2.0,5
무교로,28483.0,2.0,5
묵동,26575.0,3.0,6
묵동이마트,26575.0,3.0,6
문래동,40040.0,2.0,5
미아사거리역,22274.0,2.5,6
미아역,22274.0,2.0,5
미아이마트,16027.0,2.333333333333333,6
발산역,39037.0,3.0,1
발산역사거리,48802.0,4.0,0
방배,25146.0,2.0,5
방배다이치빌딩,21403.0,2.0,5
방배로,19793.0,3.0,6
방배역,21403.0,2.333333333333333,5
방이역,38011.0,4.0,0
뱅뱅사거리,36550.0,4.0,0
별다방,22260.0,2.0,5
봉은사로선정릉,38899.0,3.0,1
봉은사역,35255.0,3.0,1
불광역,34060.0,3.0,1
사가정역,20503.0,1.0,4
삼성,38899.0,4.0,0
삼성역섬유센터R,49688.0,4.0,0
삼성현대힐,38899.0,3.0,1
삼청동,5268.0,1.0,4
상계초교사거리,48537.0,3.0,3
상수역,25350.0,2.333333333333333,5
상암DMC,46250.0,4.0,0
