store_name,lat,lot
신세계타임스퀘어B2,37.517162,126.905608
목동5단지,37.536706,126.88212
강남대로,37.50314,127.025546
역삼대로,37.501623,127.039375
역삼포스코,37.499721,127.033582
보라매대교,37.491449,126.925432
삼성도심공항,37.5097863,127.0579134
동교,37.556928,126.919819
신림사거리,37.484768,126.930467
구로디지털로,37.485911,126.895587
광나루,37.547442,127.105934
잠실푸르지오월드,37.517649,127.103426
센트럴시티,37.504707,127.004459
잠실새내역,37.511679,127.081062
청담,37.5243631,127.0515599
가로수길,37.5231593,127.021625
상일동,37.55079896,127.1741043
신당역,37.565522,127.014554
홍대역,37.557175,126.923654
한티역,37.496801,127.055055
쌍문역,37.648456,127.034783
석촌호수,37.509581,127.104993
여의도일신,37.528,126.920103
염창역,37.547359,126.874436
방이역,37.508666,127.126569
여의도한양증권,37.522418,126.929093
당산,37.535164,126.899942
삼선교,37.588696,127.0073207
서초파라곤,37.494941,127.027422
서초중앙로,37.501691,127.01152
발산역,37.56033,126.839279
사당,37.47601,126.980997
청담사거리,37.5236351,127.0468651
천호이마트,37.538933,127.125214
코엑스몰,37.513715,127.059245
서울역동자동,37.551752,126.972694
서울아트센터,37.480866,127.012368
역삼초교사거리,37.4941059,127.0329973
내방역,37.490004,126.992455
군자역,37.556965,127.079032
명일이마트,37.553991,127.155984
신논현역,37.50529,127.023636
강변역,37.536155,127.093086
은평구청입구,37.601042,126.926789
명동메트로,37.565118,126.983681
금천독산,37.46914,126.895246
올림픽공원남문,37.5133,127.123113
회기역사거리,37.590784,127.056098
오류동역,37.4962155,126.8448614
삼청동,37.585381,126.9817512
길동역,37.5387433,127.1399879
안국,37.577338,126.985635
교대역,37.494207,127.01394
서강대,37.5524584,126.9378262
상암MBC,37.581297,126.890908
새문안로,37.5696597,126.9748903
올림픽훼미리,37.491626,127.116308
이수역,37.4864664,126.9827403
파미에파크R,37.5030521,127.004362
서울세관사거리,37.514887,127.035653
도곡역,37.492167,127.057398
양재역,37.4820475,127.0367682
논현역,37.5111983,127.0205875
종로수송,37.5714931,126.9807831
사가정역,37.579594,127.087966
북촌로,37.579462,126.986431
서소문로,37.563006,126.974546
영등포신길DT,37.504566,126.910073
문래역,37.517446,126.895258
여의도ABL타워,37.518749,126.92779
소공로북창,37.5636856,126.9789237
목동7단지,37.528012,126.87053
신사역,37.5162021,127.0207428
명동길,37.5620695,126.9858669
미아사거리역,37.611809,127.0306971
서교,37.551385,126.9169208
중구저동,37.5643686,126.9903382
문정로데오,37.491905,127.1262696
자양사거리,37.5371158,127.0825821
약수역,37.555437,127.0107253
동여의도,37.5199494,126.9317957
등촌,37.5582043,126.8443392
중랑구청,37.60538908,127.0957558
석촌서호,37.5063929,127.0964684
화곡동,37.5405115,126.8372413
상암디지털큐브,37.5763132,126.8892477
연희DT,37.5702143,126.9339777
을지병원사거리,37.5191632,127.0286446
왕십리역,37.5627541,127.0339072
명동중앙로,37.5637485,126.9857723
구의DT,37.5451984,127.0871587
상수역,37.5474817,126.9232158
송파사거리,37.5022788,127.1103904
공덕오거리,37.5424641,126.9505773
구파발역,37.63446,126.918881
신설동역,37.5767228,127.0255446
신월IC DT,37.5294984,126.831983
천호로데오,37.5378069,127.1273094
오목교역,37.5235882,126.8765212
중랑역,37.5930326,127.0747358
사당로데오,37.4772752,126.9821605
강북구청사거리,37.6400354,127.0273766
광화문D타워,37.5714,126.9788297
선정릉역,37.5107549,127.0445597
학동사거리,37.5223645,127.0379543
연세백양로,37.562644,126.937529
을지로경기빌딩,37.567172,126.983156
종암,37.601095,127.033847
서울중앙우체국,37.561678,126.982117
회현역,37.5589809,126.9807467
올림픽평화의문,37.5156426,127.1164819
방배,37.491914,126.9904974
숭실대입구역,37.4968346,126.9527123
방배카페거리,37.4934767,126.9865297
서교동사거리,37.553376,126.918564
여의도역R,37.523328,126.923439
포스코사거리,37.5075307,127.0574271
서울타워,37.551102,126.988317
선유동이레빌딩,37.534109,126.896912
둔촌동,37.522724,127.133943
한국프레스센터,37.567381,126.977859
송파아이파크,37.479892,127.122379
선유도역,37.537268,126.894594
청계산입구역,37.447323,127.05625
종로구청,37.572662,126.981138
상봉,37.597842,127.092509
동묘앞역,37.5727,127.016072
대치사거리,37.503331,127.058817
신세계본점6F,37.560381,126.980758
서초법원,37.49297,127.011875
을지로2가,37.566347,126.988066
신촌오거리,37.555137,126.934694
상암사보이시티,37.58147,126.888983
가산디지털단지역,37.481324,126.883779
성신여대정문,37.59091,127.0188
합정,37.54963,126.912999
압구정,37.526283,127.02956
