,store_name,유동인구_평균_x,차선수_x,cluster,LINK_ID,lat_x,lot_x,유동인구_평균_y,lat_y,lot_y,일자,링크아이디,거리,차선수_y,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
14,강서구청사거리,20504,3,6,1150012300,37.5549266,126.8523133,20504,37.5549266,126.8523133,20210715.5,1150012300,340,3,30.3575,29.1425,29.0925,25.8225,26.305,23.805,20.9125,16.0925,10.5575,10.74,12.3225,17.2325,17.1075,16.21,16.7275,16.6175,17.6925,16.26,14.0125,18.245,18.2375,19.61,19.2925,24.64
33,구의DT,21339,3,6,1040012900,37.5451984,127.0871587,21339,37.5451984,127.0871587,20210715.5,1040012900,479,3,26.265,25.92,26.6525,26.5225,25.095,32.435,33.3775,25.24,17.005,13.9525,13.18,16.6,20.9575,20.64,21.3125,20.755,19.85,18.3625,17.54,19.0575,20.2775,22.3075,27.075,28.9175
37,국립중앙의료원,21022,3,6,1010015000,37.566516,127.0062376,21022,37.566516,127.0062376,20210715.5,1010015000,504,3,35.125,39.35,37.255,36.8725,41.3075,37.1475,36.3575,30.89,25.1975,24.29,24.7825,24.735,27.53,27.8675,24.54,25.1275,27.1425,26.8775,26.8325,29.3775,30.1475,30.82,33.215,33.0875
38,군자역,19317,3.5,6,1040009633,37.556965,127.079032,19317,37.556965,127.079032,20210715.5,1040009633,625.5,3.5,25.04791667,26.32625,26.98,27.73416667,27.1325,27.06041667,26.02625,19.98041667,17.47333333,17.69375,18.07666667,19.17958333,20.715,20.09458333,18.98458333,18.92875,18.11791667,18.28166667,18.48583333,19.24708333,21.99666667,22.5075,24.38208333,24.63
41,금호역,12799,3,6,1030008700,37.5479939,127.0153343,12799,37.5479939,127.0153343,20210715.5,1030008700,411,3,44.5775,47.42,47.745,49.865,48.9,47.325,45.515,37.7525,33.635,34.05,37.5425,37.93,38.8775,37.965,37.09,37.6075,36.0175,37.4925,39.04,39.7725,39.21,39.69,40.925,43.5475
53,노원마들역,17677,3,6,1100032100,37.660941,127.058008,17677,37.660941,127.058008,20210715.5,1100032100,560,3,26.095,30.73,34.8275,34.46,37.6,35.165,26.635,23.6125,20.2525,19.055,19.865,20.455,20.465,19.6875,19.325,20.42,18.96,17.735,16.865,18.0775,19.695,19.4,21.46,23.89
70,독립문역,16799,3,6,1000003600,37.571432,126.961269,16799,37.571432,126.961269,20210715.5,1000003600,905,3,32.28,30.88,31.72,33.8925,34.355,32.225,30.72,26.3125,23.515,22.1625,20.35,22.9875,23.5125,24.52,24.3175,22.8525,22.62,19.615,12.8275,11.6775,19.5775,26.9675,29.5175,32.0625
73,동대문공원,21022,3,6,1010011900,37.565133,127.007191,21022,37.565133,127.007191,20210715.5,1010011900,210,3,32.9175,36.16,37.91,39.6025,37.275,35.85,37.0875,33.6175,29.7025,29.485,29.045,28.11,26.63,26.8075,25.995,27.37,26.9175,28.5225,29.0025,30.3725,30.31,32.5725,31.2125,31.63
75,동대입구역,10312,3,6,1010005400,37.559593,127.006142,10312,37.559593,127.006142,20210715.5,1010005400,588,3,28.8075,30.545,31.4675,32.0225,35.475,32.2525,29.1225,26.5325,23.9275,23.6375,23.255,21.9975,23.5275,22.9325,22.195,23.6975,24.955,24.6225,24.18,23.915,25.2275,27.0925,24.76,26.3625
76,동묘앞역,13072,2.4,6,1004011520,37.5727,127.016072,13072,37.5727,127.016072,20210715.5,1004011520,581.8,2.4,23.343,24.6915,23.8975,24.29,24.744,25.3645,26.455,28.0315,26.8975,24.6465,20.889,19.2355,17.7175,18.514,17.793,16.442,15.4645,13.333,12.929,13.123,17.5065,20.57,19.8655,20.7885
