,store_name,유동인구_평균_x,차선수_x,cluster,LINK_ID,lat_x,lot_x,유동인구_평균_y,lat_y,lot_y,일자,링크아이디,거리,차선수_y,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
0,KG타워,24141,4,7,1010009000,37.563528,126.969144,24141,37.563528,126.969144,20210715.5,1010009000,501,4,28.0775,26.2125,29.1325,27.435,25.38,25.4775,33.3375,29.8175,23.9975,21.57,22.6725,21.1775,19.195,19.75,19.04,17.7625,17.3525,20.22,16.6975,18.3375,25.6675,27.3925,29.5625,33.71
1,SSG마켓도곡R,30953,4,7,1220014250,37.490298,127.054895,30953,37.490298,127.054895,20210715.5,1220014250,564,4,34.96875,36.125,33.1325,33.8175,35.25375,34.05,30.30625,28.3425,24.9825,23.685,24.65375,21.67125,21.99625,22.5575,20.79625,18.24375,17.60625,16.9875,16.9225,20.5325,24.05875,25.2875,27.46625,32.0975
8,강남대로논현R,33095,4,7,1220027800,37.507413,127.022568,33095,37.507413,127.022568,20210715.5,1220027800,785,4,27.86,27.8025,30.8775,30.7925,31.0875,31.625,28.985,23.2325,21.3775,21.1825,20.9925,19.915,19.5525,19.535,16.8875,14.3075,13.005,13.8975,12.4475,14.6525,19.6,21.0975,23.62,26.3025
9,강남대로신사,34063,4,7,1220030650,37.51489,127.019469,34063,37.51489,127.019469,20210715.5,1220030650,580,4,23.42875,24.06625,25.20625,25.4575,25.63375,29.025,28.61375,22.6075,17.6275,13.2325,10.5525,8.69125,10.02875,9.26125,10.39125,11.715,10.49875,12.2725,12.715,14.99,21.275,24.48375,25.06375,23.67375
12,강동역,30164,5,7,1240000550,37.536047,127.133086,30164,37.536047,127.133086,20210715.5,1240000550,742,5,33.7375,32.8925,32.29375,32.4275,33.26125,31.05125,30.69,28.21125,27.075,26.9425,26.42875,26.18375,25.66125,26.5075,25.5125,24.505,24.71125,23.39625,23.285,26.44625,28.08875,28.30875,28.92375,31.66375
27,광화문우체국,28483,4,7,1000001400,37.569854,126.978083,28483,37.569854,126.978083,20210715.5,1000001400,204,4,29.6975,33.015,30.71,31.7175,35.65,29.9775,28.98,27.9125,23.2725,19.475,19.565,19.745,22.2075,20.7575,20.06,21.4325,22.785,24.12,23.605,27.965,25.0175,24.8725,28.7675,28.32
44,낙성대DT,18871,4,7,1200001500,37.476169,126.965005,18871,37.476169,126.965005,20210715.5,1200001500,1782,4,33.425,34.725,35.42,36.49,37.3025,34.09,29.9425,24.15,16.3975,21.1575,27.17,28.02,29.165,29.3125,27.985,26.67,26.7575,26.855,28.0175,28.1125,28.1675,29.295,28.6975,30.3375
45,낙성대역,18871,4,7,1200001900,37.477946,126.961193,18871,37.477946,126.961193,20210715.5,1200001900,240,4,37.475,40.3325,42.08,43.375,42.085,36.655,29.8,25.285,22.68,25.88,25.865,26.575,27.655,29.29,30.02,30.045,28.2225,27.6625,28.255,28.2025,28.87,30.905,31.3,33.545
57,답십리역,22891,5,7,1050004600,37.568466,127.051106,22891,37.568466,127.051106,20210715.5,1050004600,725,5,39.255,39.275,38.13,38.735,38.1475,37.2975,35.42,29.705,26.1525,26.1025,25.715,25.7575,26.5025,26.2025,25.4275,26.4275,26.6725,27.0025,27.0825,28.6125,30.575,32.2,34.4375,35.4825
65,대치역,28358,4,7,1220018467,37.493554,127.061874,28358,37.493554,127.061874,20210715.5,1220018467,798,4,27.79416667,31.81666667,32.66083333,32.86,31.70166667,31.6775,30.1675,25.43833333,20.93166667,18.77083333,19.18416667,20.50833333,21.76,22.2625,21.14833333,19.96416667,20.5075,17.91833333,18.34083333,23.27333333,28.23083333,29.83583333,24.8325,27.51333333
69,도곡역,28358,4,7,1220018433,37.492167,127.057398,28358,37.492167,127.057398,20210715.5,1220018433,798,4,29.55083333,34.31333333,36.02416667,35.4575,33.68333333,35.1475,33.3875,26.91166667,20.72583333,18.13416667,19.25083333,20.05416667,20.8725,21.0425,20.46416667,19.25083333,19.6825,17.38166667,18.04166667,21.48916667,25.00166667,26.22416667,24.34,29.53416667
74,동대문두타,21022,4,7,1010017300,37.56892513,127.0087838,21022,37.56892513,127.0087838,20210715.5,1010017300,455,4,25.845,23.9875,26.3975,27.6725,26.0725,27.975,27.555,26.14,25.2625,24.1175,24.05,22.62,21.0125,19.4725,18.84,18.58,18.5125,18.9425,19.8825,21.8925,20.62,22.595,23.3825,24.045
79,둔촌동,26633,5,7,1240005900,37.522724,127.133943,26633,37.522724,127.133943,20210715.5,1240005900,858,5,26.335,27.725,27.68,32.41,29.0825,28.53,26.815,23.0325,19.225,21.8825,24.1425,25.3375,25.2025,24.2275,23.8075,24.02,23.3025,22.7475,22.225,22.8025,23.4825,23.425,25.4775,25.4375
81,등촌역,18873,4,7,1150000333,37.548884,126.86807,18873,37.548884,126.86807,20210715.5,1150000333,847.3333333,4,33.28166667,32.555,34.3375,34.445,34.45833333,33.27916667,30.6825,25.55416667,21.5375,23.655,24.4875,25.5725,26.09583333,25.94166667,25.64833333,24.86333333,25.06,25.4125,25.55333333,26.58916667,28.64,27.9925,28.7175,31.28166667
86,마포아크로,20724,5.5,7,1130000550,37.54145556,126.948819,20724,37.54145556,126.948819,20210715.5,1130000550,573,5.5,30.4575,31.2625,36.97625,39.9725,40.0125,33.8975,32.56125,27.40625,19.96625,20.5375,22.31625,23.97,26.5175,22.77875,20.54625,22.57,25.1425,21.54,19.77875,22.35375,26.31625,28.17625,30.6725,29.635
89,마포일진빌딩,20724,5,7,1130000500,37.54043451,126.9463168,20724,37.54043451,126.9463168,20210715.5,1130000500,573,5,24.49,25.2925,34.2575,42.2075,41.0175,31.23,32.81,29.2225,25.1175,29.12,29.7025,26.4925,25.825,24.0975,21.81,23.3,21.1275,16.94,17.47,18.3875,23.2,26.4875,29.42,25.035
96,목동10단지,23312,4,7,1140006100,37.51542562,126.8596031,23312,37.51542562,126.8596031,20210715.5,1140006100,264,4,29.8575,35.3575,32.335,30.985,32.78,30.89,28.655,27.9925,25.9975,26.06,23.755,22.0975,21.9775,21.36,22.335,21.1375,19.6575,17.98,13.9,15.035,18.3775,21.1775,21.11,26.2125
98,목동8단지,20291,5,7,1140012900,37.520518,126.868841,20291,37.520518,126.868841,20210715.5,1140012900,236,5,31.1975,32.675,35.8675,32.4825,34.1975,35.695,36.6675,37.1775,34.73,31.61,33.51,36.28,33.7275,32.895,31.5875,31.6575,28.9125,29.6125,29.6375,32.715,35.3675,36.47,31.6375,31.3925
132,서강광흥창역,25350,4,7,1130013500,37.549377,126.931661,25350,37.549377,126.931661,20210715.5,1130013500,589,4,21.1625,20.42,20.5825,20.91,19.625,22.44,25.2475,24.795,22.14,21.15,20.47,18.9175,19.0775,19.2325,18.34,18.4375,18.895,19.725,19.2875,20.7725,22.42,22.985,21.5725,22
142,서울대역,18871,4,7,1200004767,37.481599,126.9522,18871,37.481599,126.9522,20210715.5,1200004767,577.6666667,4,31.9175,32.38333333,32.36833333,33.6275,33.1775,33.35833333,33.12166667,29.95166667,28.12583333,27.68833333,26.17,26.22083333,26.64333333,27.5175,27.44916667,25.79333333,25.86666667,25.73416667,25.85583333,25.39,26.445,27.265,27.40666667,29.97833333
158,선유동이레빌딩,29001,4,7,1180039700,37.534109,126.896912,29001,37.534109,126.896912,20210715.5,1180039700,401,4,33.5,33.19,34.73,33.7325,32.475,30.85,24.155,20.8825,15.305,15.0975,15.835,16.94,16.2375,16.375,13.9575,14.3175,14.525,14.3275,13.6025,18.6575,23.465,27.3975,29.73,30.665
160,성대입구,26705,4,7,1000015500,37.582892,126.998392,26705,37.582892,126.998392,20210715.5,1000015500,880,4,28.8,28.9425,30.1075,31.2175,31.075,30.125,27.2675,21.655,15.2875,14.455,13.8425,16.1475,19.5425,21.08,19.62,18.5175,18.41,19.9875,23.18,23.9625,25.3825,26.0525,26.195,26.6575
175,스탈릿대치R,28358,4,7,1220020100,37.494668,127.062583,28358,37.494668,127.062583,20210715.5,1220020100,662.5,4,32.63875,35.9175,39.7325,37.9475,36.265,32.89,30.0925,24.63625,19.735,17.58,19.055,20.32625,20.72375,18.67,18.2875,17.67,16.48375,15.51625,15.48875,16.98375,19.36875,19.7775,20.8425,31.14
179,신논현역,33095,4,7,1220027850,37.50529,127.023636,33095,37.50529,127.023636,20210715.5,1220027850,785,4,25.53125,26.2275,27.96375,28.99125,28.63,29.725,27.96375,24.18,22.21875,20.95625,20.0675,17.9925,17.69125,17.51125,16.6,15.25625,14.02375,14.00875,12.0225,14.89,18.8075,20.2175,20.87375,22.8325
183,신림DT,26927,4,7,1200003900,37.480935,126.908407,26927,37.480935,126.908407,20210715.5,1200003900,960,4,30.3575,30.39,29.17,30.33,29.1225,28.2225,27.56,26.2575,21.7525,23.37,23.6525,22.35,23,23.2825,22.985,22.365,21.295,20.495,20.7775,21.53,19.9,19.02,21.905,25.54
184,신림사거리,26927,4,7,1200007900,37.484768,126.930467,26927,37.484768,126.930467,20210715.5,1200007900,404,4,25.85,30.1325,32.1,33.4425,35.03,30.68,29.345,21.11,13.91,13.78,14.805,11.825,11.0525,10.67,9.625,10.16,8.34,8.0575,9.9575,11.3525,10.43,12.685,13.65,18.3125
188,신세계본점5F,22260,4,7,1010004900,37.560951,126.981134,22260,37.560951,126.981134,20210715.5,1010004900,188,4,24.9275,26.6725,27.5625,26.3075,28.6825,21.1425,17.7075,15.43,14.93,15.2575,17.245,17.09,17.1175,17.5225,17.15,17.1175,16.775,20.55,23.885,25.82,27.2625,25.8925,19.9625,21.1425
191,신월동DT,13831,4,7,1140036400,37.53829235,126.8271014,13831,37.53829235,126.8271014,20210715.5,1140036400,435,4,23.9025,19.8625,19.7875,16.905,16.65,18.35,18.4175,14.86,11.38,9.975,10.8175,12.2375,14.4875,14.1925,14.0475,12.595,13.36,14.37,18.0625,19.065,19.83,20.21,19.255,20.8925
195,아차산역,21339,4,7,1040003700,37.5505388,127.0898757,21339,37.5505388,127.0898757,20210715.5,1040003700,443,4,28.65,29.535,33.0475,30.3125,30.93,28.3025,22.535,16.5125,12.125,14.0175,14.365,14.9175,16.5,16.55,16.3525,15.38,14.0225,11.8875,11.325,11.5175,16.69,19.325,22.115,24.6825
203,애오개역,26391,4,7,1130001750,37.55218737,126.9555203,26391,37.55218737,126.9555203,20210715.5,1130001750,1308.5,4,29.90125,30.20125,30.45125,31.43,30.73625,29.7025,27.0925,22.5925,18.705,21.6675,22.45125,21.58125,21.91625,20.8775,18.81375,18.5275,18.52875,18.255,18.7925,20.24125,23.255,25.2375,25.31125,27.4675
222,염창역,32346,4,7,1140000300,37.547359,126.874436,32346,37.547359,126.874436,20210715.5,1140000300,665,4,33.475,33.485,34.485,37.695,35.805,34.575,33.1625,30.5725,27.5225,29.245,30.2225,30.12,30.455,30.7025,30.1775,28.3625,26.8775,24.7425,21.3875,20.765,24.03,28.2525,29.64,33.5175
243,이수역사거리,25146,4,7,1210016200,37.48585,126.983027,25146,37.48585,126.983027,20210715.5,1210016200,674,4,24.8125,25.9275,29.2325,28.845,28.3875,26.285,24.77,24.535,22.67,21.775,22.9825,22.8675,21.9675,22.41,21.715,21.4375,20.52,17.68,15.0475,16.365,19.0225,20.7425,22.1625,22.565
264,천호로데오,30164,5,7,1240000600,37.5378069,127.1273094,30164,37.5378069,127.1273094,20210715.5,1240000600,742,5,39.1725,35.2925,34.695,35.925,35.7775,33.05,35.41,33.0975,31.4325,30.9825,30.93,30.645,29.8575,30.4225,28.46,27.005,27.7975,25.735,25.2125,29.725,32.3475,32.335,32.42,37.85
266,천호역,25857,5,7,1240000900,37.53795191,127.1245793,25857,37.53795191,127.1245793,20210715.5,1240000900,288,5,36.545,33.0275,30.9225,32.945,31.2925,29.84,30.645,31.355,30.24,28.3125,27.42,26.2675,27.175,27.865,26.9275,26.04,26.725,26.405,24.54,24.045,26.225,30.1925,31.185,34.24
279,한티역,28358,4,7,1220022550,37.496801,127.055055,28358,37.496801,127.055055,20210715.5,1220022550,764,4,28.73375,27.29125,30.62,30.2,32.315,32.19625,29.51,26.36875,23.905,23.04,23.05375,22.23125,22.12125,19.6325,18.4575,17.44,17.56,15.78125,16.5475,19.7475,22.91125,22.36625,19.33875,24.88875
