,store_name,유동인구_평균_x,차선수_x,cluster,LINK_ID,lat_x,lot_x,유동인구_평균_y,lat_y,lot_y,일자,링크아이디,거리,차선수_y,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2,가락시장역,37909,2.666666667,1,1230009933,37.494299,127.121354,37909,37.494299,127.121354,20210715.5,1230009933,483,2.666666667,27.18833333,26.59583333,26.9725,27.8,27.23833333,27.0225,24.57583333,20.1075,15.70333333,14.70833333,16.04166667,16.02583333,17.37583333,18.19083333,16.6825,15.975,15.37,14.96666667,15.00333333,17.55166667,18.47416667,19.3625,20.48416667,22.86
6,강남구청정문,43176,3,1,1220032833,37.518181,127.045995,43176,37.518181,127.045995,20210715.5,1220032833,812,3,30.57666667,31.07666667,32.95916667,33.25833333,30.95,30.14166667,29.90583333,26.97583333,25.99083333,21.22333333,17.93916667,17.9225,19.76583333,20.9175,19.53916667,18.625,19.56416667,19.8225,20.565,23.33916667,24.30583333,25.20833333,26.11833333,28.34583333
15,건국대,33461,3,1,1040012000,37.5415592,127.0711244,33461,37.5415592,127.0711244,20210715.5,1040012000,877,3,24.5925,26.755,26.34,27.815,27.215,23.285,19.485,16.1775,12.5575,12.7375,13.92,17.8225,18.8425,19.815,19.51,18.0275,17.6425,16.265,18.79,21.0775,21.95,21.7075,21.9575,23.6475
16,건대입구,33461,3,1,1040012000,37.5406604,127.0707225,33461,37.5406604,127.0707225,20210715.5,1040012000,877,3,24.5925,26.755,26.34,27.815,27.215,23.285,19.485,16.1775,12.5575,12.7375,13.92,17.8225,18.8425,19.815,19.51,18.0275,17.6425,16.265,18.79,21.0775,21.95,21.7075,21.9575,23.6475
25,광장,36473,3,1,1040011600,37.542518,127.099651,36473,37.542518,127.099651,20210715.5,1040011600,523,3,25.06,32.355,30.9325,26.2925,22.6725,19.0775,18.315,16.9625,16.805,16.745,19.135,21.06,23.04,22.8375,23.805,22.3525,24.105,22.785,21.035,22.355,23.8825,22.4325,27.7775,28.4025
28,교대,31186,3,1,1210019500,37.4923611,127.0142207,31186,37.4923611,127.0142207,20210715.5,1210019500,597,3,24.4425,23.3525,26.035,28.31,26.8375,26.3775,25.145,26.9675,24.8925,21.275,17.37,13.9925,16.14,15.645,13.8525,15.685,19.49,19.985,18.9325,19.76,24.32,23.995,21.5575,22.9325
29,교대법원,41208,3,1,1210022450,37.496329,127.013336,41208,37.496329,127.013336,20210715.5,1210022450,998,3,30.7,30.38,29.50375,31.465,28.245,30.245,32.205,27.2975,25.74375,23.785,23.83625,23.30875,23.39875,23.1075,21.91125,18.46,18.37125,17.2125,17.13875,21.835,26.5225,26.53125,26.26875,29.90375
30,교대역,31186,2.75,1,1210022100,37.494207,127.01394,31186,37.494207,127.01394,20210715.5,1210022100,998,2.75,31.688125,32.7375,32.1475,33.03875,30.656875,31.1675,32.48875,28.238125,26.516875,24.740625,24.47,23.993125,23.660625,23.33875,21.949375,18.028125,17.559375,16.184375,16.0525,19.940625,25.516875,26.163125,26.378125,30.07
31,구로하이엔드,39268,3,1,1160003800,NaN,NaN,39268,37.481618,126.893136,20210715.5,1160003800,2061,3,36.685,38.0675,37.06,40.57,37.345,34.715,34.07,28.6025,19.91,15.4025,22.2,28.7675,31.1625,31.08,31.0025,27.9075,28.25,22.2575,18.305,18.21,22.9875,24.42,28.05,33.64
47,남부터미널,31186,3,1,1210015767,37.48467334,127.0169464,31186,37.48467334,127.0169464,20210715.5,1210015767,614,3,23.35083333,23.6925,22.30666667,25.58416667,25.6225,23.6525,22.6575,21.6625,21.8075,18.03,16.7475,17.42166667,18.91,18.18,17.935,18.22333333,18.87416667,18.9125,18.43333333,19.30666667,20.7225,21.74083333,20.9025,22.80916667
