store_name,store_address,lat,lot,도로,길,Z_KAIS_TL_SPRD_MANAGE_11000_ALWNC_DE,Z_KAIS_TL_SPRD_MANAGE_11000_ALWNC_RESN,Z_KAIS_TL_SPRD_MANAGE_11000_BSI_INT,Z_KAIS_TL_SPRD_MANAGE_11000_ENG_RN,Z_KAIS_TL_SPRD_MANAGE_11000_MVMN_DE,Z_KAIS_TL_SPRD_MANAGE_11000_MVMN_RESN,Z_KAIS_TL_SPRD_MANAGE_11000_MVM_RES_CD,Z_KAIS_TL_SPRD_MANAGE_11000_NTFC_DE,Z_KAIS_TL_SPRD_MANAGE_11000_OPERT_DE,Z_KAIS_TL_SPRD_MANAGE_11000_RBP_CN,Z_KAIS_TL_SPRD_MANAGE_11000_RDS_DPN_SE,Z_KAIS_TL_SPRD_MANAGE_11000_RDS_MAN_NO,Z_KAIS_TL_SPRD_MANAGE_11000_REP_CN,Z_KAIS_TL_SPRD_MANAGE_11000_RN_CD,Z_KAIS_TL_SPRD_MANAGE_11000_ROAD_BT,Z_KAIS_TL_SPRD_MANAGE_11000_ROAD_LT,Z_KAIS_TL_SPRD_MANAGE_11000_ROA_CLS_SE,Z_KAIS_TL_SPRD_MANAGE_11000_SIG_CD,Z_KAIS_TL_SPRD_MANAGE_11000_WDR_RD_CD
봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동)1522-3232,"37.511293","127.048409",봉은사로,,"20100419",강남개발 이전부터 존재하던 주요문화재 봉은사의 명칭을 인용,"20",Bongeunsa-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225533",논현동 200-7,"0","14",삼성동 171-4,"3122004",35.00000000,4200.00000000,"3","11680","3"
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동)1522-3232,"37.502117","127.026672",봉은사로2길,,"20101018",봉은사로 시점에서 2번째 분기된 도로,"15",Bongeunsa-ro 2-gil,"20201030",도로구간변경,"12","20101203","20201030151432",역삼동 601,"0","494",역삼동 814-6,"4166346",8.00000000,354.00000000,"4","11680","3"
스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호1522-3232,"37.50999","127.061455",영동대로,,"20100419",영등포의 동쪽 지역을 의미하는 영동이라는 지명에서 유래,"20",Yeongdong-daero,"20141030",기재내용정정,"71","20100422","20181107140506",서울특별시 강남구 개포동 192-1,"0","6",서울특별시 성동구 성수동2가 158-1(영동대교 북단),"2122002",70.00000000,5683.00000000,"2","11680","2"
강남구청정문,서울특별시 강남구 학동로 419 (청담동)1522-3232,"37.518181","127.045995",학동로,,"20100419",본래 학로였으나 1984년 11월 7일 가로명 제정때 학동로로 부여,"20",Hakdong-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225537",논현동 50-2,"0","7",청담동 134-18,"3122011",40.00000000,3755.00000000,"3","11680","3"
도곡공원,서울특별시 강남구 도곡로 205 (역삼동)1522-3232,"37.492805","127.041309",도곡로,,"20100422",행정구역 명칭 사용,"20",Dogok-ro,"20141117",누락된 부여일자 입력,"71","20100422","20181107140310",서울특별시 강남구 도곡동 943(강남대로),"0","11",서울특별시 송파구 잠실동 294 (백제고분로),"3122012",40.00000000,4700.00000000,"3","11680","2"
강남R,서울특별시 강남구 강남대로 390 (역삼동)1522-3232,"37.497711","127.028439",강남대로,,"20090701",행정구역 명칭 사용,"10",Gangnam-daero,"20141030",기재내용정정,"71","20090710","20181116105004",서울특별시 서초구 양재동 238-1(염곡사거리),"1","2091",서울특별시 용산구 한남동 782(한강대교북단),"2102001",6.00000000,7820.00000000,"2","11650","2"
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동)1522-3232,"37.498973","127.060172",도곡로,,"20100422",행정구역 명칭 사용,"20",Dogok-ro,"20141117",누락된 부여일자 입력,"71","20100422","20181107140310",서울특별시 강남구 도곡동 943(강남대로),"0","11",서울특별시 송파구 잠실동 294 (백제고분로),"3122012",40.00000000,4700.00000000,"3","11680","2"
청담영동대로,서울특별시 강남구 영동대로 720 (청담동)1522-3232,"37.522156","127.056449",영동대로,,"20100419",영등포의 동쪽 지역을 의미하는 영동이라는 지명에서 유래,"20",Yeongdong-daero,"20141030",기재내용정정,"71","20100422","20181107140506",서울특별시 강남구 개포동 192-1,"0","6",서울특별시 성동구 성수동2가 158-1(영동대교 북단),"2122002",70.00000000,5683.00000000,"2","11680","2"
압구정,서울특별시 강남구 압구정로30길 17 (신사동)1522-3232,"37.526283","127.02956",압구정로30길,,"20101018",압구정로 시점에서 30번째 분기된 도로,"15",Apgujeong-ro 30-gil,"20201109",도로구간변경,"12","20101203","20201109103559",신사동 614,"0","358",신사동 592-5,"4166516",8.00000000,615.00000000,"4","11680","3"
신사가로수,서울특별시 강남구 가로수길 59 1522-3232,"37.521933","127.022521",가로수길,,"20200612",기존 인지도 높은 도로명,"15",Garosu-gil,"20200619",직권수정(속성변경),"99","20200619","20200619135552",신사동 667-12,"1","7240",신사동 667-12,"4858362",5.79600000,322.00000000,"4","11680","3"
