,store_name,유동인구_평균_x,차선수_x,cluster,LINK_ID,lat_x,lot_x,유동인구_평균_y,lat_y,lot_y,일자,링크아이디,거리,차선수_y,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
3,가재울뉴타운,20391,2,5,1120008100,37.5749841,126.9164441,20391,37.5749841,126.9164441,20210715.5,1120008100,833,2,21.1525,21.925,26.145,25.8525,28.6425,21.365,16.8275,15.71,16.7925,16.9175,17.57,16.905,17.545,15.8725,15.8075,16.3,15.745,16.505,15.85,16.75,15.245,16.3125,18.525,18.3075
5,강남구청역,41704,2,5,1220031000,37.5165849,127.0412433,41704,37.5165849,127.0412433,20210715.5,1220031000,803,2,28.3825,26.2525,31.48,35.0025,31.05,32.8675,31.3075,25.13,19.8025,17.9825,15.54,14.8775,14.6675,13.1225,12.25,12.6775,11.915,11.0875,16.455,19.835,23.2875,24.7125,25.03,25.1775
11,강동구청DT,24938,2,5,1240006700,37.529437,127.123835,24938,37.529437,127.123835,20210715.5,1240006700,698,2,34.98,36.755,38.6075,36.92,34.33,30.9475,27.785,24.01,23.29,20.1525,18.2775,17.35,17.32,16.73,16.5675,16.7675,16.555,17.0775,19.1975,20.185,23.4275,21.9375,23.5475,27.3525
13,강북구청사거리,27859,2,5,1080010975,37.6400354,127.0273766,27859,37.6400354,127.0273766,20210715.5,1080010975,443.25,2,28.076875,29.498125,30.1,30.685625,30.29125,28.805625,25.93,23.469375,19.5425,17.366875,18.23875,18.499375,19.5175,19.943125,18.435,16.524375,16.1175,16.71,16.248125,16.933125,19.93,20.914375,21.176875,23.880625
18,경희대삼거리,18320,2,5,1050018700,37.591531,127.052017,18320,37.591531,127.052017,20210715.5,1050018700,880,2,25.3075,25,25.2925,26.69,29.1725,27.3075,25.405,23.135,22.4925,23.6775,24.5225,23.42,23.56,23.4625,23.755,22.835,22.375,22.89,23.935,23.61,23.395,23.32,24.5475,25.605
20,공덕오거리,20724,2.333333333,5,1056677867,37.5424641,126.9505773,20724,37.5424641,126.9505773,20210715.5,1056677867,488.6666667,2.333333333,21.98916667,24.49666667,29.5425,29.06833333,29.975,24.43916667,20.50833333,18.03083333,13.69166667,15.33583333,15.505,16.9525,15.755,14.7575,14.11833333,14.13166667,15.92,15.3575,14.03583333,15.77833333,17.58833333,17.63166667,19.595,20.55916667
21,공릉DT,42818,2,5,1100000300,37.6206884,127.0743116,42818,37.6206884,127.0743116,20210715.5,1100000300,912,2,28.27,27.92,27.1525,27.93,29.1425,29.245,25.645,20.5675,17.5875,18.9725,19.4425,20.45,21.7325,22.6875,21.275,19.8975,19.965,21.2175,20.185,21.8275,23.685,24.1375,23.9425,26.5375
22,공릉역,42818,2,5,1100000700,37.626337,127.072252,42818,37.626337,127.072252,20210715.5,1100000700,397,2,33.0575,33.4325,31.9475,35.665,34.815,34.1925,29.415,25.7575,24.2425,21.8325,22.6525,23.1,25.2525,25.345,24.005,23.0525,22.18,22.6625,22.82,24.8425,26.685,29.5225,27.99,30.5625
23,광나루,36473,2,5,1040003900,37.547442,127.105934,36473,37.547442,127.105934,20210715.5,1040003900,1616,2,30.635,33.61,36.485,33.48,34.345,34.3225,26.215,19.27,16.47,18.4525,22.605,26.1775,26.3925,26.2825,26.425,26.5725,27.2175,25.6825,25.13,25.2825,25.3975,27.69,28.5975,30.8
34,구의역,24498,2,5,1040008400,37.53698,127.084015,24498,37.53698,127.084015,20210715.5,1040008400,509,2,22.4975,21.735,24.5325,21.2725,20.73,19.0025,20.3275,17.705,12.88,9.565,10.5625,16.9525,18.67,21.0275,19.3475,19.7875,19.5375,19.1575,18.5725,20.38,20.84,20.92,21.565,22.9425
39,굽은다리역,28627,2,5,1240013000,37.545403,127.143101,28627,37.545403,127.143101,20210715.5,1240013000,624,2,35.225,33.24,35.7375,38.0825,41.055,38.84,33.5175,32.295,27.9725,26.0625,24.755,22.45,22.27,23.31,22.45,21.875,20.5025,21.455,21.1425,20.465,23.3725,26.3725,26.075,29.97
40,금천시흥,28040,2,5,1170001900,37.448624,126.903183,28040,37.448624,126.903183,20210715.5,1170001900,562,2,21.1275,22.0425,19.29,25.185,21.285,17.58,15.5075,18.0025,18.705,18.9175,18.865,18.9475,17.9775,19.0175,18.4675,19.4625,17.69,18.3025,16.5625,16.595,20.9925,20.31,20.9925,19.9325
49,남성역,19764,2,5,1210014450,37.4841198,126.9725739,19764,37.4841198,126.9725739,20210715.5,1210014450,1317,2,25.68875,28.02,28.5,27.3975,28.55375,27.13625,25.14875,21.03,18.52125,18.6675,18.80875,19.45875,20.3825,20.21625,20.105,19.8225,18.05875,16.965,16.125,15.33,17.99,20.63375,21.80125,24.43625
50,내방역,25146,2,5,1210018850,37.490004,126.992455,25146,37.490004,126.992455,20210715.5,1210018850,638,2,25.95625,25.615,21.76875,26.1275,18.015,23.07875,23.37875,23.8275,21.495,21.31625,20.39125,19.17625,20.5175,20.28125,18.5225,17.66375,16.29875,15.5525,15.10125,18.37625,22.675,24.25375,24.395,24.5
60,당산역사거리,35769,2.333333333,5,1180040033,37.533984,126.901156,35769,37.533984,126.901156,20210715.5,1180040033,427,2.333333333,31.81583333,33.2875,33.00333333,33.89916667,34.165,35.04916667,29.785,27.14166667,23.96833333,23.26666667,23.40583333,23.6725,23.69083333,23.7825,22.55583333,23.71833333,22.56166667,24.11916667,20.97666667,20.37666667,22.42333333,24.32083333,24.83,26.39166667
61,대우재단빌딩,22260,2,5,1010002567,37.556781,126.975081,22260,37.556781,126.975081,20210715.5,1010002567,960,2,27.15,28.33083333,28.6925,29.695,29.215,28.13916667,25.58416667,22.51,18.775,18.66,17.41166667,17.48583333,17.3225,18.29416667,17.88916667,17.53333333,17.48333333,18.11583333,18.77333333,22.01916667,21.78333333,23.64,23.8425,24.74416667
71,독산사거리,34262,2,5,1170006000,37.471511,126.898775,34262,37.471511,126.898775,20210715.5,1170006000,433,2,23.485,26.9975,27.2925,25.795,21.085,19.6125,20.5925,18.7175,12.87,11.14,12.1625,13.76,16.1925,16.45,15.01,14.4575,13.56,11.7325,11.5125,13.9425,15.1025,19.5525,21.69,21.6325
77,동부이촌동,27412,2,5,1020003900,37.52111,126.96905,27412,37.52111,126.96905,20210715.5,1020003900,543,2,28.81,31.5825,30.1525,34.6,33.8625,28.73,27.59,24.5375,21.2825,19.75,20.635,20.74,19.3425,19.8775,18.4225,17.2575,16.11,15.6975,16.0175,19.14,23.4425,25.83,26.7925,26.6425
84,마곡나루공원,32247,2,5,1150086600,37.567007,126.822246,32247,37.567007,126.822246,20210715.5,1150086600,998,2,24.2425,28.085,29.98,30.365,28.6275,30.2425,26.81,22.2325,20.4925,20.71,22.985,23.3675,23.4125,23.5075,21.905,25.05,27.6725,22.22,23.58,26.7575,21.6625,22.2425,23.945,24.6525
87,마포염리,13491,2,5,1130009000,37.543876,126.94768,13491,37.543876,126.94768,20210715.5,1130009000,441,2,24.355,21.9525,25.0525,28.79,26.46,28.065,20.375,20.19,20.08,22.87,20.5225,20.985,19.8575,20.1225,19.18,21.1275,22.4675,20.3,19.545,21.11,21.375,19.2275,20.23,21.6175
91,명동남산,28483,2,5,1010004550,37.560809,126.986397,28483,37.560809,126.986397,20210715.5,1010004550,627,2,31.13625,31.975,33.03,34.1325,33.5,33.37875,30.7475,29.80375,28.56125,28.67875,28.6175,28.4275,27.78125,27.8975,27.3625,27.1525,27.7775,27.215,25.76,28.26875,31.00875,30.44375,31.65125,29.4875
