,LINK_ID,store_name,store_addr,lat_x,lot_x,도로_x,layer,path,지역,구로구,동,도로_y,유동인구_평균,lat_y,lot_y
20,1220019000,도곡공원,서울특별시 강남구 도곡로 205 (역삼동)1522-3232,37.492805,127.041309,도곡로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼2동,도곡로,52263,37.492805,127.041309
21,1220023400,강남R,서울특별시 강남구 강남대로 390 (역삼동)1522-3232,37.497711,127.028439,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,강남대로,97922,37.497711,127.028439
22,1220022600,대치은마사거리,서울특별시 강남구 도곡로 457 (대치동)1522-3232,37.498973,127.060172,도곡로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치2동,도곡로,49688,37.498973,127.060172
23,1220022500,대치은마사거리,서울특별시 강남구 도곡로 457 (대치동)1522-3232,37.498973,127.060172,도곡로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치2동,도곡로,49688,37.498973,127.060172
24,1220016300,강남우성,서울특별시 강남구 강남대로 328 (역삼동)1522-3232,37.492396,127.03091,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,강남대로,97922,37.492396,127.03091
25,1220026400,대치사거리,서울특별시 강남구 삼성로 402 (대치동)1522-3232,37.503331,127.058817,삼성로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치2동,삼성로,49688,37.503331,127.058817
26,1220024800,대치사거리,서울특별시 강남구 삼성로 402 (대치동)1522-3232,37.503331,127.058817,삼성로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치2동,삼성로,49688,37.503331,127.058817
27,1220026700,대치사거리,서울특별시 강남구 삼성로 402 (대치동)1522-3232,37.503331,127.058817,삼성로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치2동,삼성로,49688,37.503331,127.058817
28,1220028000,포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩1522-3232,37.5075307,127.0574271,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성1동,테헤란로,35255,37.5075307,127.0574271
29,1220028100,포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩1522-3232,37.5075307,127.0574271,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성1동,테헤란로,35255,37.5075307,127.0574271
30,1220032300,을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)1522-3232",37.5191632,127.0286446,논현로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현2동,논현로,41704,37.5191632,127.0286446
31,1220018500,도곡역,서울특별시 강남구 남부순환로 2909 (대치동)1522-3232,37.492167,127.057398,남부순환로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치1동,남부순환로,28358,37.492167,127.057398
32,1220018400,도곡역,서울특별시 강남구 남부순환로 2909 (대치동)1522-3232,37.492167,127.057398,남부순환로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치1동,남부순환로,28358,37.492167,127.057398
33,1220022600,한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)1522-3232",37.496801,127.055055,도곡로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치1동,도곡로,28358,37.496801,127.055055
34,1220022500,한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)1522-3232",37.496801,127.055055,도곡로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치1동,도곡로,28358,37.496801,127.055055
35,1220020600,역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동)1522-3232,37.4941059,127.0329973,역삼로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,역삼로,97922,37.4941059,127.0329973
36,1220019400,역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동)1522-3232,37.4941059,127.0329973,역삼로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,역삼로,97922,37.4941059,127.0329973
37,1220030800,코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) O103호1522-3232,37.513715,127.059245,영동대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성1동,영동대로,35255,37.513715,127.059245
38,1220030900,코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) O103호1522-3232,37.513715,127.059245,영동대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성1동,영동대로,35255,37.513715,127.059245
39,1220025200,역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)1522-3232",37.501623,127.039375,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.501623,127.039375
40,1220024000,역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)1522-3232",37.499721,127.033582,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.499721,127.033582
41,1220024100,역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)1522-3232",37.499721,127.033582,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.499721,127.033582
42,1220025100,강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)1522-3232",37.50314,127.025546,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,강남대로,97922,37.50314,127.025546
43,1220025000,강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)1522-3232",37.50314,127.025546,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,강남대로,97922,37.50314,127.025546
44,1220032300,학동역,서울특별시 강남구 논현로 704 (논현동)1522-3232,37.51464884,127.0307302,논현로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현2동,논현로,41704,37.51464884,127.0307302
45,1220024200,대치,서울특별시 강남구 도곡로 511 (대치동)1522-3232,37.49966175,127.0622171,도곡로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치2동,도곡로,49688,37.49966175,127.0622171
46,1220024300,대치,서울특별시 강남구 도곡로 511 (대치동)1522-3232,37.49966175,127.0622171,도곡로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치2동,도곡로,49688,37.49966175,127.0622171
