,store_name,유동인구_평균_x,차선수_x,cluster,LINK_ID,lat_x,lot_x,유동인구_평균_y,lat_y,lot_y,일자,링크아이디,거리,차선수_y,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
4,강남R,97922.0,4.0,2,1220023400.0,37.497711,127.028439,97922.0,37.497711,127.028439,20210715.5,1220023400.0,323.0,4.0,27.705000000000002,30.0425,30.174999999999997,32.724999999999994,32.855000000000004,30.135,29.7,28.9,24.515,22.67,21.4725,21.915,23.265,22.0125,21.94,21.240000000000002,22.97,24.545,24.0925,25.470000000000002,27.2875,26.167499999999997,23.1875,25.64
7,강남대로,97922.0,4.0,2,1220025066.6666667,37.50314000000001,127.02554600000002,97922.0,37.50314000000001,127.02554600000002,20210715.5,1220025066.6666667,776.0,4.0,25.74416666666667,29.238333333333333,30.659166666666668,32.00083333333334,31.486666666666668,31.5975,29.669999999999998,25.298333333333336,21.273333333333337,19.291666666666668,16.951666666666664,15.2725,15.089999999999998,14.748333333333335,12.8175,10.948333333333336,11.455,12.420833333333333,12.655833333333334,13.321666666666667,18.328333333333333,19.646666666666665,18.241666666666667,23.328333333333333
10,강남우성,97922.0,4.0,2,1220016300.0,37.492396,127.03091,97922.0,37.492396,127.03091,20210715.5,1220016300.0,414.0,4.0,20.82,19.7675,17.3425,17.6825,18.535,26.785000000000004,28.319999999999997,22.939999999999998,15.490000000000002,10.677499999999998,8.3875,8.505,10.870000000000001,11.0725,10.4375,11.0525,12.4125,14.752500000000001,14.274999999999999,17.0625,17.88,15.855,16.57,17.6025
32,구역삼사거리,97922.0,2.6,2,1220021380.0,37.49592355000001,127.0388645,97922.0,37.49592355000001,127.0388645,20210715.5,1220021380.0,538.2,2.6,28.5055,29.432500000000005,31.582499999999992,31.934499999999996,33.85199999999999,32.184999999999995,28.481500000000004,24.163999999999994,20.1085,17.557000000000002,16.7105,17.4535,17.889,17.262999999999998,16.776500000000002,15.545500000000004,14.507,14.128000000000004,13.339000000000002,14.960500000000001,19.1385,21.544,23.124499999999994,26.2435
36,국기원사거리,97922.0,4.0,2,1220024050.0,37.499517,127.03149499999998,97922.0,37.499517,127.03149499999998,20210715.5,1220024050.0,557.0,4.0,31.120000000000005,33.196250000000006,33.386250000000004,34.835,34.97,34.3325,31.52,26.862500000000004,24.58,23.423750000000002,22.47875,21.75625,22.139999999999997,20.5,17.1,14.32125,12.42875,10.4075,9.174999999999999,13.04125,22.305,25.031250000000004,25.561250000000005,29.3025
83,르네상스사거리,97922.0,4.0,2,1220026100.0,37.502721,127.044308,97922.0,37.502721,127.044308,20210715.5,1220026100.0,589.0,4.0,31.6975,36.47,35.0625,36.1875,36.7575,35.0775,32.07,30.285,26.637500000000003,25.875,24.692500000000003,24.6025,23.955,22.835,22.96,20.8425,18.7275,18.1325,18.340000000000003,19.73,22.115,22.515,24.1575,28.4775
156,선릉역,97922.0,4.0,2,1220026100.0,37.50393894,127.0485135,97922.0,37.50393894,127.0485135,20210715.5,1220026100.0,589.0,4.0,31.6975,36.47,35.0625,36.1875,36.7575,35.0775,32.07,30.285,26.637500000000003,25.875,24.692500000000003,24.6025,23.955,22.835,22.96,20.8425,18.7275,18.1325,18.340000000000003,19.73,22.115,22.515,24.1575,28.4775
196,아크로힐스논현,97922.0,3.0,2,1220029066.6666667,37.50898041,127.04038689999999,97922.0,37.50898041,127.04038689999999,20210715.5,1220029066.6666667,506.0,3.0,27.256666666666664,27.840833333333325,27.61,27.6975,28.0675,27.686666666666667,27.32166666666667,24.57083333333333,22.239166666666666,20.695833333333333,19.382499999999997,18.2475,18.438333333333333,17.781666666666666,17.063333333333333,15.869166666666665,14.345,14.967500000000001,15.039166666666667,16.471666666666668,18.78333333333333,20.094166666666666,20.724999999999998,22.471666666666668
197,아크플레이스,97922.0,4.0,2,1220024100.0,37.49971982,127.0349084,97922.0,37.49971982,127.0349084,20210715.5,1220024100.0,557.0,4.0,29.069999999999997,29.0875,28.8175,33.235,31.744999999999997,29.494999999999997,27.335,24.3525,21.397499999999997,19.87,18.9575,17.1275,16.6025,14.739999999999998,13.624999999999998,12.6025,13.437499999999998,12.107499999999998,12.250000000000002,13.8775,17.884999999999998,19.299999999999997,19.28,22.119999999999997
209,역삼대로,97922.0,4.0,2,1220025233.3333333,37.501623,127.03937500000005,97922.0,37.501623,127.03937500000005,20210715.5,1220025233.3333333,555.0,4.0,27.1875,27.694999999999997,29.646666666666672,29.328333333333333,30.711666666666662,30.281666666666666,27.614166666666673,23.615,20.439999999999998,19.005,16.90833333333333,14.544166666666667,14.911666666666667,15.094999999999999,13.868333333333332,14.006666666666666,13.411666666666664,12.569166666666668,12.335,14.870833333333332,17.771666666666665,19.059166666666666,21.989166666666666,26.372500000000002
