LINK_ID,X,Y
1110008106,193563.65,455773.58
1110008106,193557.75,455750.24
1110008106,193547.95,455679.5
1110008106,193537.73,455632.33
1110008106,193531.51,455611.88
1110008104,193284.06,455262.51
1110008104,193276.27,455249.86
1110008104,193253.93,455202.19
1110008104,193201.61,455095.64
1110008104,193188.08,455064.51
1110008102,193200.56,454961.66
1110008102,193203.97,454937.8
1110008102,193201.68,454870.1
1110008102,193196.37,454822.75
1110005700,193196.35,454822.5
1110005700,193185.15,454660.78
1110005700,193164.63,454418.93
1110005700,193163.31,454385.75
1110005700,193161.32,454344.95
1110005800,193176.05,454024.28
1110005800,193183.82,454039.27
1110005800,193186.87,454049.56
1110005800,193187.21,454097.58
1110005800,193178.59,454238.37
1110008201,193208.3,454821.41
1110008201,193213.65,454869.23
1110008201,193215.99,454938.46
1110008201,193212.28,454964.12
1110008201,193196.98,455019.3
1110008203,193196.98,455019.3
1110008203,193194.54,455028.04
1110008203,193194.01,455032.52
1110008203,193194.01,455038.14
1110008203,193196.59,455051.24
1110008205,193294.08,455255.93
1110008205,193299.93,455264.24
1110008205,193317.31,455287.79
1110008205,193364.6,455349.36
1110008205,193413.18,455413.49
1120021200,195341.09,451950.23
1120021200,195326.87,451986.01
1120021200,195313.05,452030.38
1120021200,195307.63,452041.75
1120021200,195305.83,452050.49
1130019502,195810.8,451733.33
1130019502,195824.13,451710.42
1130019502,195861.59,451667.39
1130019502,195920,451603.46
1130019502,195976.83,451550.03
1130019501,196078.62,451407.83
1130019501,196089.52,451375.75
1130019501,196093.02,451360.33
1130019501,196097.41,451334.63
1130019501,196098.85,451321.65
1130019600,196134.23,450875.69
1130019600,196166.41,451048.88
1130019600,196178.32,451119.51
1130019600,196179,451130.28
1130019600,196178.55,451143.42
1130009601,196089.9,451411.92
1130009601,196074.19,451452.8
1130009601,196021.66,451528.8
1130009601,195984.76,451559.05
1130009601,195928.56,451611.89
1120021300,195814.51,451742.17
1120021300,195732.83,451721.55
1120021300,195718.37,451718.31
1120021300,195704.4,451719.03
1120021300,195692.22,451721.95
1000025100,197585.16,452292.35
1000025100,197586.85,452368.27
1000025100,197594.66,452456.13
1000028100,197594.69,452456.7
1000028100,197594.26,452514.49
1000028100,197593.42,452617.58
1000031300,197593.42,452617.57
1000031300,197592.57,452726.79
1000032600,197592.43,452728.03
1000032600,197589.53,452741.3
1000032600,197588.78,452747.52
1000032600,197593.41,452861.76
1000034500,197593.4,452862.42
1000034500,197588.76,452929.2
1000034400,197576.79,452928.37
1000034400,197581.43,452861.59
1000032500,197581.42,452862.24
1000032500,197576.75,452747.04
1000032500,197577.69,452739.29
1000032500,197580.71,452725.46
1000031200,197580.57,452726.7
1000031200,197581.42,452617.48
1000028200,197581.42,452617.48
1000028200,197582.26,452514.4
1000028200,197582.69,452456.62
1000025200,197582.71,452457.19
1000025200,197574.86,452368.94
1000025200,197573.17,452292.62
1230234200,212993.06,442076.69
1230234200,213045.65,442069.95
1230232900,212761.02,442085.13
1230232900,212891.82,442082.3
1230232900,212993.06,442076.69
1230229900,212527.53,442094.73
1230229900,212642.51,442087.96
1230229900,212761.02,442085.13
1230224500,212167.86,442112.21
1230224500,212354,442104.45
1230224500,212527.53,442094.73
1230224600,212527.81,442106.73
1230224600,212354.56,442116.44
1230224600,212172.48,442123.98
1230230000,212761.4,442097.13
1230230000,212643.01,442099.95
1230230000,212527.81,442106.73
1230233000,212993.99,442088.65
1230233000,212892.28,442094.3
1230233000,212761.4,442097.13
1230234300,213046.28,442082.03
1230234300,212993.99,442088.65
1070016401,204218.99,456271.36
1070016401,204209.52,456287.42
1070016401,204208.53,456289.84
1070016401,204204.01,456327.72
1070016401,204197,456403.21
1070016402,204188.29,456474.88
1070016402,204183.85,456537.99
1070016402,204177.33,456602.52
1070016402,204176.77,456608.24
1070016402,204178.01,456615.84
1070019401,204330.95,457113.9
1070019401,204326.59,457131.7
1070019401,204314.96,457167.15
1070019401,204293.17,457222.42
1070019401,204283.21,457245.88
1070019402,204291.62,457379.71
1070019402,204301.31,457393.72
1070019402,204308.38,457402.71
1070019402,204319.96,457416.01
1070019402,204359.95,457463.81
1070020801,204359.16,457463.02
1070020801,204453.88,457540.81
1070020802,204453.8,457540.75
1070020802,204484.23,457564.96
1070020803,204484.24,457564.97
1070020803,204588.9,457648.46
1070020803,204675.3,457718.72
1070020803,204746.11,457775.92
1070020803,204768.49,457792.53
1070020703,204761.34,457802.16
1070020703,204738.76,457785.41
1070020703,204667.75,457728.04
1070020703,204581.38,457657.81
1070020703,204476.75,457574.35
1070020702,204476.76,457574.35
1070020702,204446.33,457550.14
1070020701,204446.26,457550.08
1070020701,204351.54,457472.3
1070019302,204350.75,457471.51
1070019302,204310.83,457423.8
1070019302,204299.13,457410.37
1070019302,204291.65,457400.84
1070019302,204281.75,457386.54
1070019301,204281.71,457386.47
1070019301,204275.81,457377.7
1070019301,204270.51,457367.23
1070019301,204266.87,457355.05
1070019301,204264.38,457344.67
1070016302,204319.47,457110.46
1070016302,204322.73,457101.33
1070016302,204324.23,457093.98
1070016302,204323.82,457088.2
1070016302,204312.13,457009.07
1070016301,204176.37,456473.54
1070016301,204180.32,456448.03
1070016301,204185.06,456402.04
1070016301,204192.08,456326.45
1070016301,204196.81,456286.81
1190003801,195621.75,445026.11
1190003801,195753.57,445040.29
1190003802,195753.53,445040.29
1190003802,195895.35,445054.58
1190003803,195895.86,445054.65
1190003803,195916.55,445058.56
1190003803,195926.55,445064.82
1190003803,195935.76,445074.03
1190003803,195986.43,445189.09
1190003804,196203.34,445223.59
1190003804,196217.23,445227.63
1190003804,196267.49,445250.11
1190003804,196292.46,445257.25
1190003804,196337.24,445268.7
1190003805,196484.74,445330.28
1190003805,196526.82,445348.22
1190003805,196548.35,445352.4
1190003806,196552.74,445355.96
1190003806,196574.23,445406.89
1190003807,196574.16,445406.73
1190003807,196605.77,445475.8
1190003807,196613.21,445482.95
1190003808,196612.75,445482.55
1190003808,196639.72,445503.6
1190003808,196734.43,445568.53
1190003707,196727.64,445578.43
1190003707,196632.63,445513.29
1190003707,196605.36,445492
1190003706,196604.9,445491.6
1190003706,196595.81,445482.87
1190003706,196563.25,445411.72
1190003706,196541.68,445360.62
1190003705,196546.06,445364.18
1190003705,196523.28,445359.76
1190003705,196480.03,445341.32
1190003704,196480.49,445341.49
1190003704,196463.27,445335.76
1190003704,196424.43,445317.32
1190003704,196398.54,445310.61
1190003704,196372.99,445307.16
1190003703,196198.73,445234.58
1190003703,196137.69,445200.38
1190003703,196128.28,445196.62
1190003703,196118.11,445195.69
1190003703,196028.61,445205.7
1190003702,195894.14,445066.52
1190003702,195752.33,445052.23
1190003701,195752.29,445052.22
1190003701,195620.46,445038.04
1230024700,210686.129485,446132.329571
1230024700,210379.464043,445506.531453
1230024700,210333.701028,445414.424892
1230024700,210312.346682,445375.74903
1230019500,210312.2069,445375.480019
1230019500,210168.112696,445080.166256
1230019500,210120.940055,445006.658691
1230016300,210121.309016,445007.171976
1230016300,210080.038229,444955.711169
1230016300,210051.384243,444923.402471
1230016300,210008.834398,444884.422788
1230016300,209968.188819,444850.64011
1230014100,209737.386729,444735.668203
1230014100,208590.526861,444281.476164
1230014100,208540.809008,444258.444854
1230014200,208545.852977,444247.556402
1230014200,208595.261898,444270.444603
1230014200,209741.805217,444724.511278
1230016400,209741.905256,444724.551942
1230016400,209865.185183,444775.960136
1230016400,209922.52038,444806.07286
1230016400,209975.353674,444840.991438
1230016400,210016.727116,444875.379081
1230019600,210131.039332,445000.177596
1230019600,210178.590236,445074.274594
1230019600,210322.991564,445370.217794
1230024800,210322.851782,445369.948783
1230024800,210344.331894,445408.852423
1230024800,210390.225302,445501.221427
1230024800,210696.905203,446127.04905
1120010700,191686.46,453430.01
1120010700,191698.88,453413.2
1120010700,191751.36,453373.43
1120010700,191879.44,453266.55
1120010700,192023.46,453146.49
1120009200,192738.26,452817.13
1120009200,192758.5,452843.11
1120009200,192775.79,452858.05
1120009200,192793.93,452868.72
1120009200,192813.15,452883.61
